Rut,Actividad,Timestamp,Tipo alerta,Alerta real,Tipo revisión,PPA,PPS,Periodo admisión,Tipo admisión,Sexo,Vigencia,Región,Establecimiento educacional,Ptj NEM,Ptj Ranking,Ptj Selección,Preferencia,Puesto ingreso,Estado Civil,Vive con,Sistema de Salud
4,Alert semester 3,01-2020,28e,True,,3.27,2.21,,,,,,,,,,,,,,
4,Alert semester 4,08-2020,28e,True,,3.68,4.91,,,,,,,,,,,,,,
4,Alert semester 5,01-2021,28e,True,,3.46,2.61,,,,,,,,,,,,,,
4,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
5,Alert semester 1,01-2019,"28a,28b",True,,2.52,2.52,201920,60 - PSU,F,Vigente,VII R. del Maule,Particular Subvencionado,508,57,789,1,815,U - Acuerdo de Unión Civil,Solo (Independiente),Isapre Vida Tres S.A.
5,Alert semester 2,08-2019,"28c,28d",True,,2.23,1.94,,,,,,,,,,,,,,
5,Alert semester 3,01-2020,28e,True,,2.39,2.72,,,,,,,,,,,,,,
5,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
5,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
5,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
6,Alert semester 1,01-2019,"28a,28b",True,,3.24,3.24,201920,60 - PSU,F,No vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,155,374,182,1,341,U - Acuerdo de Unión Civil,Solo (Independiente),Isapre Banmedica S.A.
6,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
6,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
6,Expelled,07-2020,,,,,,,,,,,,,,,,,,,
7,Alert semester 1,01-2019,"28a,28b",True,,3.19,3.19,201920,60 - PSU,F,Vigente,VIII R. del Biobío,Particular Subvencionado,37,354,224,2,120,S - Soltero,"Con pareja (conyuge, conviv.)",Isapre Ing Salud S.A.
7,No Alert semester 2,08-2019,,,,4.26,5.33,,,,,,,,,,,,,,
7,Alert semester 3,01-2020,28e,True,,3.95,3.34,,,,,,,,,,,,,,
7,No Alert semester 4,08-2020,,,,4.42,5.8,,,,,,,,,,,,,,
7,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
7,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
8,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,No vigente,IX R. de la Araucanía,Particular Subvencionado,426,186,629,2,31,,Otros parientes,
8,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
8,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
8,Dropout,07-2020,,,,,,,,,,,,,,,,,,,
9,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,II R. de Antofagasta,Particular Pagado,698,631,476,2,73,S - Soltero,Institucion,Isapre Colmena Golden Cross SA
9,Alert semester 2,08-2019,"28a,28b",True,,2.94,2.94,,,,,,,,,,,,,,
9,Alert semester 3,01-2020,"28c,28d",True,,2.4,1.86,,,,,,,,,,,,,,
9,Alert semester 4,08-2020,28e,True,,2.39,2.37,,,,,,,,,,,,,,
9,Alert semester 5,01-2021,28e,True,,2.43,2.56,,,,,,,,,,,,,,
9,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
10,Alert semester 1,01-2019,"28a,28b",True,,3.31,3.31,201920,12 - Talentos e Inclusión,M,Vigente,XI R. de Aysen del G.C.Ibañez,Municipal,90,664,211,2,897,U - Acuerdo de Unión Civil,Solo con mi padre,Isapre Consalud
10,Alert semester 2,08-2019,"28c,28d",True,,2.7,2.09,,,,,,,,,,,,,,
10,No Alert semester 3,01-2020,,,,4.12,6.95,,,,,,,,,,,,,,
10,Alert semester 4,08-2020,28e,True,,3.87,3.11,,,,,,,,,,,,,,
10,Alert semester 5,01-2021,28e,True,,3.55,2.29,,,,,,,,,,,,,,
10,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
11,Alert semester 1,01-2019,"28a,28b",True,,2.23,2.23,201920,60 - PSU,M,Vigente,II R. de Antofagasta,Particular Subvencionado,745,201,573,2,387,C - Casado,Solo (Independiente),Isapre Ferrosalud S.A.
11,No Alert semester 2,08-2019,,,,4.6,6.97,,,,,,,,,,,,,,
11,Alert semester 3,01-2020,28e,True,,3.75,2.06,,,,,,,,,,,,,,
11,Alert semester 4,08-2020,28e,True,,3.24,1.71,,,,,,,,,,,,,,
11,Alert semester 5,01-2021,28e,True,,3.7,5.52,,,,,,,,,,,,,,
11,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
12,Alert semester 1,01-2019,"28a,28b",True,,1.25,1.25,201920,60 - PSU,F,Vigente,IX R. de la Araucanía,Particular Subvencionado,15,347,716,2,864,U - Acuerdo de Unión Civil,Otros,Isapre Vida Tres S.A.
12,Alert semester 2,08-2019,"28c,28d",True,,1.16,1.07,,,,,,,,,,,,,,
12,Alert semester 3,01-2020,28e,True,,2.69,5.75,,,,,,,,,,,,,,
12,Alert semester 4,08-2020,28e,True,,3.47,5.82,,,,,,,,,,,,,,
12,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
12,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
13,Alert semester 1,01-2019,"28a,28b",True,,3.41,3.41,201920,60 - PSU,M,Vigente,No tiene,Particular Pagado,644,285,674,1,711,S - Soltero,Solo,Isapre Alemana Salud S.A.
13,Alert semester 2,08-2019,"28c,28d",True,,2.27,1.14,,,,,,,,,,,,,,
13,Alert semester 3,01-2020,28e,True,,2.63,3.33,,,,,,,,,,,,,,
13,Alert semester 4,08-2020,28e,True,,3.44,5.86,,,,,,,,,,,,,,
13,Alert semester 5,01-2021,28e,True,,3.37,3.12,,,,,,,,,,,,,,
13,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
14,No Alert semester 1,01-2019,,,,4.57,4.57,201920,60 - PSU,F,Vigente,,Particular Pagado,214,185,784,1,175,S - Soltero,"Hermanos, Parientes, Amigos",Sin Prevision
14,Alert semester 2,08-2019,"28c,28d",True,,3.42,2.27,,,,,,,,,,,,,,
14,Alert semester 3,01-2020,28e,True,,3.97,5.08,,,,,,,,,,,,,,
14,Alert semester 4,08-2020,28e,True,,3.44,1.86,,,,,,,,,,,,,,
14,Alert semester 5,01-2021,28e,True,,2.97,1.06,,,,,,,,,,,,,,
14,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
15,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,Vigente,VI R. del L.B.OHiggins,Particular Subvencionado,710,594,477,1,132,,Solo (Independiente),Isapre Ing Salud S.A.
15,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
15,Alert semester 3,01-2020,"28a,28b",True,,1.12,1.12,,,,,,,,,,,,,,
15,Alert semester 4,08-2020,"28c,28d",True,,1.39,1.65,,,,,,,,,,,,,,
15,Alert semester 5,01-2021,28e,True,,2.26,4.0,,,,,,,,,,,,,,
15,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
16,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,No vigente,VIII R. del Biobío,Particular Pagado,284,118,264,2,624,C - Casado,Otros parientes,Isapre Chuquicamata
16,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
16,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
16,No Alert semester 4,08-2020,,,,4.05,4.05,,,,,,,,,,,,,,
16,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
18,Alert semester 1,01-2019,"28a,28b",True,,2.73,2.73,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,70,708,210,2,891,C - Casado,Otros,Isapre Alemana Salud S.A.
18,Alert semester 2,08-2019,"28c,28d",True,,2.0,1.26,,,,,,,,,,,,,,
18,Alert semester 3,01-2020,28e,True,,2.56,3.68,,,,,,,,,,,,,,
18,Alert semester 4,08-2020,28e,True,,3.56,6.59,,,,,,,,,,,,,,
18,No Alert semester 5,01-2021,,,,4.24,6.96,,,,,,,,,,,,,,
18,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
20,Alert semester 1,01-2019,"28a,28b",True,,2.76,2.76,201920,60 - PSU,F,Vigente,XIII R. Metropolitana,Municipal,73,646,272,2,383,D - Divorciado,Solo (Independiente),Isapre Vida Tres S.A.
20,Alert semester 2,08-2019,"28c,28d",True,,1.92,1.09,,,,,,,,,,,,,,
20,Alert semester 3,01-2020,28e,True,,3.54,6.77,,,,,,,,,,,,,,
20,Alert semester 4,08-2020,28e,True,,3.56,3.64,,,,,,,,,,,,,,
20,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
20,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
22,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,518,126,97,2,526,S - Soltero,No Tiene,Isapre Alemana Salud S.A.
22,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
22,No Alert semester 3,01-2020,,,,4.69,4.69,,,,,,,,,,,,,,
22,Alert semester 4,08-2020,28d,True,,4.24,3.79,,,,,,,,,,,,,,
22,No Alert semester 5,01-2021,,,,4.22,4.19,,,,,,,,,,,,,,
22,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
23,Alert semester 1,01-2019,"28a,28b",True,,2.83,2.83,201920,60 - PSU,F,No vigente,II R. de Antofagasta,Particular Subvencionado,720,427,240,2,593,U - Acuerdo de Unión Civil,Ambos Padres,Fonasa
23,Alert semester 2,08-2019,"28c,28d",True,,3.37,3.9,,,,,,,,,,,,,,
23,Alert semester 3,01-2020,28e,True,,3.1,2.58,,,,,,,,,,,,,,
23,Alert semester 4,08-2020,28e,True,,2.94,2.43,,,,,,,,,,,,,,
23,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
24,Alert semester 1,01-2019,"28a,28b",True,,2.29,2.29,201920,60 - PSU,F,Vigente,X R. de los Lagos,Particular Subvencionado,120,291,126,2,874,C - Casado,Solo con mi madre,Isapre Ing Salud S.A.
24,Alert semester 2,08-2019,28c,True,,3.52,4.74,,,,,,,,,,,,,,
24,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
24,No Alert semester 4,08-2020,,,,4.15,5.42,,,,,,,,,,,,,,
24,Alert semester 5,01-2021,28e,True,,3.66,2.2,,,,,,,,,,,,,,
24,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
25,Alert semester 1,01-2019,"28a,28b",True,,2.5,2.5,201920,60 - PSU,M,Vigente,XII R. de Magallanes y La Anta,Municipal,80,692,663,2,231,C - Casado,No Tiene,Otra Institución
25,Alert semester 2,08-2019,"28c,28d",True,,2.15,1.8,,,,,,,,,,,,,,
25,Alert semester 3,01-2020,28e,True,,2.79,4.08,,,,,,,,,,,,,,
25,Alert semester 4,08-2020,28e,True,,2.52,1.71,,,,,,,,,,,,,,
25,Alert semester 5,01-2021,28e,True,,3.36,6.71,,,,,,,,,,,,,,
25,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
26,Alert semester 1,01-2019,"28a,28b",True,,2.16,2.16,201920,60 - PSU,M,Vigente,No tiene,Municipal,488,396,203,2,615,D - Divorciado,Institucion,Capredena
26,Alert semester 2,08-2019,28c,True,,3.39,4.61,,,,,,,,,,,,,,
26,Alert semester 3,01-2020,28e,True,,3.43,3.51,,,,,,,,,,,,,,
26,Alert semester 4,08-2020,28e,True,,3.26,2.76,,,,,,,,,,,,,,
26,Alert semester 5,01-2021,28e,True,,3.1,2.47,,,,,,,,,,,,,,
26,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
28,Alert semester 1,01-2019,"28a,28b",True,,3.0,3.0,201920,56 - PACE,F,No vigente,V R. de Valparaíso,Particular Subvencionado,429,341,288,2,674,C - Casado,No Tiene,Isapre Fund Salud Trab BcoEsta
28,Alert semester 2,08-2019,"28c,28d",True,,3.42,3.83,,,,,,,,,,,,,,
28,Expelled,12-2019,,,,,,,,,,,,,,,,,,,
29,Alert semester 1,01-2019,"28a,28b",True,,2.02,2.02,201920,60 - PSU,F,Vigente,IX R. de la Araucanía,Particular Pagado,274,299,677,1,688,D - Divorciado,"Hermanos, Parientes, Amigos",Isapre Consalud S.A.
29,Alert semester 2,08-2019,"28c,28d",True,,1.7,1.37,,,,,,,,,,,,,,
29,Alert semester 3,01-2020,28e,True,,2.33,3.6,,,,,,,,,,,,,,
29,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
29,Alert semester 5,01-2021,28e,True,,2.1,1.4,,,,,,,,,,,,,,
29,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
31,Alert semester 1,01-2019,"28a,28b",True,,2.68,2.68,201920,60 - PSU,F,No vigente,V R. de Valparaíso,Municipal,135,607,257,2,430,D - Divorciado,Uno De Los Padres,Isapre Ferrosalud S.A.
31,Alert semester 2,08-2019,"28c,28d",True,,3.53,4.37,,,,,,,,,,,,,,
31,Alert semester 3,01-2020,28e,True,,3.53,3.54,,,,,,,,,,,,,,
31,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
31,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
31,Expelled,07-2021,,,,,,,,,,,,,,,,,,,
32,Alert semester 1,01-2019,"28a,28b",True,,2.84,2.84,201920,60 - PSU,M,Vigente,VI R. del L.B.OHiggins,Municipal,285,349,104,1,559,D - Divorciado,"Con pareja (conyuge, conviv.)",Isapre Rio Blanco Ltda.
32,Alert semester 2,08-2019,28c,True,,3.91,4.98,,,,,,,,,,,,,,
32,Alert semester 3,01-2020,28e,True,,3.65,3.12,,,,,,,,,,,,,,
32,Alert semester 4,08-2020,28e,True,,3.69,3.8,,,,,,,,,,,,,,
32,Alert semester 5,01-2021,28e,True,,3.82,4.35,,,,,,,,,,,,,,
32,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
33,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Subvencionado,673,101,464,1,90,U - Acuerdo de Unión Civil,Solo (Independiente),Sin Prevision
33,Alert semester 2,08-2019,"28a,28b",True,,1.86,1.86,,,,,,,,,,,,,,
33,Alert semester 3,01-2020,28c,True,,3.29,4.71,,,,,,,,,,,,,,
33,No Alert semester 4,08-2020,,,,4.17,5.93,,,,,,,,,,,,,,
33,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
33,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
34,Alert semester 1,01-2019,"28a,28b",True,,1.97,1.97,201920,60 - PSU,M,Vigente,XV R. de Arica y Parinacota,Particular Subvencionado,372,16,383,1,740,,Otros parientes,Sin Prevision
34,Alert semester 2,08-2019,"28c,28d",True,,1.81,1.66,,,,,,,,,,,,,,
34,Alert semester 3,01-2020,28e,True,,2.83,4.86,,,,,,,,,,,,,,
34,Alert semester 4,08-2020,28e,True,,2.49,1.47,,,,,,,,,,,,,,
34,Alert semester 5,01-2021,28e,True,,2.59,2.97,,,,,,,,,,,,,,
34,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
36,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,No vigente,IV R. de Coquimbo,Particular Pagado,23,684,648,1,480,D - Divorciado,Solo,Isapre Consalud S.A.
36,Alert semester 2,08-2019,"28a,28b",True,,3.21,3.21,,,,,,,,,,,,,,
36,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
36,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
36,Dropout,12-2020,,,,,,,,,,,,,,,,,,,
37,Alert semester 1,01-2019,"28a,28b",True,,2.42,2.42,201920,60 - PSU,F,Vigente,IV R. de Coquimbo,Municipal,74,370,174,2,517,D - Divorciado,Solo con mi madre,Sin Prevision
37,Alert semester 2,08-2019,"28c,28d",True,,1.9,1.37,,,,,,,,,,,,,,
37,Alert semester 3,01-2020,28e,True,,2.4,3.4,,,,,,,,,,,,,,
37,Alert semester 4,08-2020,28e,True,,2.09,1.19,,,,,,,,,,,,,,
37,Alert semester 5,01-2021,28e,True,,2.5,4.12,,,,,,,,,,,,,,
37,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
38,Alert semester 1,01-2019,"28a,28b",True,,2.5,2.5,201920,60 - PSU,F,Vigente,III R. de Atacama,Particular Subvencionado,323,491,686,1,227,C - Casado,Solo con mi padre,Isapre Ing Salud S.A.
38,Alert semester 2,08-2019,28c,True,,3.81,5.13,,,,,,,,,,,,,,
38,No Alert semester 3,01-2020,,,,4.8,6.78,,,,,,,,,,,,,,
38,No Alert semester 4,08-2020,,,,4.17,2.26,,,,,,,,,,,,,,
38,No Alert semester 5,01-2021,,,,4.13,3.99,,,,,,,,,,,,,,
38,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
41,No Alert semester 1,01-2019,,,,5.94,5.94,201920,60 - PSU,F,Vigente,VI R. del L.B.OHiggins,Particular Pagado,473,671,410,1,530,,Con ambos padres,Isapre Ing Salud S.A.
41,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
41,No Alert semester 3,01-2020,,,,5.82,5.69,,,,,,,,,,,,,,
41,No Alert semester 4,08-2020,,,,4.97,3.27,,,,,,,,,,,,,,
41,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
41,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
43,Alert semester 1,01-2019,"28a,28b",True,,2.79,2.79,201920,60 - PSU,F,Vigente,I R. de Tarapaca,Particular Subvencionado,146,527,404,1,759,U - Acuerdo de Unión Civil,,Isapre Fund Salud Trab BcoEsta
43,Alert semester 2,08-2019,"28c,28d",True,,3.31,3.83,,,,,,,,,,,,,,
43,Alert semester 3,01-2020,28e,True,,2.94,2.2,,,,,,,,,,,,,,
43,Alert semester 4,08-2020,28e,True,,3.11,3.62,,,,,,,,,,,,,,
43,Alert semester 5,01-2021,28e,True,,2.81,1.63,,,,,,,,,,,,,,
43,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
44,Alert semester 1,01-2019,"28a,28b",True,,2.39,2.39,201920,60 - PSU,F,Vigente,V R. de Valparaíso,Particular Subvencionado,85,3,170,2,679,U - Acuerdo de Unión Civil,"Con pareja (conyuge, conviv.)",Isapre Vida Tres S.A.
44,Alert semester 2,08-2019,28c,True,,3.65,4.91,,,,,,,,,,,,,,
44,No Alert semester 3,01-2020,,,,4.13,5.1,,,,,,,,,,,,,,
44,Alert semester 4,08-2020,28e,True,,3.89,3.15,,,,,,,,,,,,,,
44,Alert semester 5,01-2021,28e,True,,3.7,2.97,,,,,,,,,,,,,,
44,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
45,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,No vigente,,Particular Pagado,748,485,794,1,443,U - Acuerdo de Unión Civil,Solo con mi padre,Isapre Banmedica S.A.
45,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
45,Alert semester 3,01-2020,"28a,28b",True,,2.54,2.54,,,,,,,,,,,,,,
45,Dropout,07-2020,,,,,,,,,,,,,,,,,,,
46,Alert semester 1,01-2019,"28a,28b",True,,2.51,2.51,201920,60 - PSU,F,Vigente,No tiene,Particular Subvencionado,479,159,16,2,880,U - Acuerdo de Unión Civil,Solo (Independiente),Isapre Cruz Blanca S.A.
46,Alert semester 2,08-2019,"28c,28d",True,,1.95,1.39,,,,,,,,,,,,,,
46,Alert semester 3,01-2020,28e,True,,2.54,3.73,,,,,,,,,,,,,,
46,Alert semester 4,08-2020,28e,True,,3.29,5.52,,,,,,,,,,,,,,
46,Alert semester 5,01-2021,28e,True,,3.85,6.08,,,,,,,,,,,,,,
46,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
47,Alert semester 1,01-2019,"28a,28b",True,,2.85,2.85,201920,60 - PSU,M,Vigente,X R. de los Lagos,Particular Subvencionado,374,24,111,2,422,C - Casado,Solo (Independiente),Isapre Consalud
47,Alert semester 2,08-2019,"28c,28d",True,,2.38,1.91,,,,,,,,,,,,,,
47,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
47,Alert semester 4,08-2020,28e,True,,3.49,5.7,,,,,,,,,,,,,,
47,Alert semester 5,01-2021,28e,True,,3.97,5.43,,,,,,,,,,,,,,
47,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
48,Alert semester 1,01-2019,"28a,28b",True,,2.87,2.87,201920,56 - PACE,M,Vigente,,Particular Subvencionado,548,574,546,1,794,D - Divorciado,Con ambos padres,Capredena
48,Alert semester 2,08-2019,"28c,28d",True,,2.26,1.65,,,,,,,,,,,,,,
48,Alert semester 3,01-2020,28e,True,,3.56,6.15,,,,,,,,,,,,,,
48,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
48,Alert semester 5,01-2021,28e,True,,3.46,3.15,,,,,,,,,,,,,,
48,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
50,Alert semester 1,01-2019,"28a,28b",True,,3.22,3.22,201920,60 - PSU,F,Vigente,II R. de Antofagasta,Particular Subvencionado,581,243,132,1,521,,Con ambos padres,Fonasa
50,Alert semester 2,08-2019,"28c,28d",True,,2.38,1.54,,,,,,,,,,,,,,
50,Alert semester 3,01-2020,28e,True,,3.47,5.65,,,,,,,,,,,,,,
50,No Alert semester 4,08-2020,,,,4.26,6.62,,,,,,,,,,,,,,
50,Alert semester 5,01-2021,"28e,28f",True,,3.89,2.4,,,,,,,,,,,,,,
50,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
51,No Alert semester 1,01-2019,,,,5.38,5.38,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,524,315,301,2,796,S - Soltero,Con ambos padres,Sin Prevision
51,No Alert semester 2,08-2019,,,,5.37,5.36,,,,,,,,,,,,,,
51,No Alert semester 3,01-2020,,,,4.13,1.66,,,,,,,,,,,,,,
51,No Alert semester 4,08-2020,,,,4.7,6.41,,,,,,,,,,,,,,
51,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
51,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
53,No Alert semester 1,01-2019,,,,4.25,4.25,201920,60 - PSU,F,Vigente,XV R. de Arica y Parinacota,Particular Pagado,55,222,603,2,174,S - Soltero,Otros,Isapre Ferrosalud S.A.
53,Alert semester 2,08-2019,"28c,28d",True,,2.88,1.52,,,,,,,,,,,,,,
53,No Alert semester 3,01-2020,,,,4.11,6.55,,,,,,,,,,,,,,
53,No Alert semester 4,08-2020,,,,4.06,3.92,,,,,,,,,,,,,,
53,No Alert semester 5,01-2021,,,,4.12,4.35,,,,,,,,,,,,,,
53,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
54,Alert semester 1,01-2019,"28a,28b",True,,2.24,2.24,201920,60 - PSU,M,Vigente,IV R. de Coquimbo,Particular Subvencionado,571,107,470,1,871,D - Divorciado,Uno De Los Padres,Sin Prevision
54,No Alert semester 2,08-2019,,,,4.55,6.86,,,,,,,,,,,,,,
54,No Alert semester 3,01-2020,,,,4.58,4.65,,,,,,,,,,,,,,
54,No Alert semester 4,08-2020,,,,4.61,4.68,,,,,,,,,,,,,,
54,Alert semester 5,01-2021,28e,True,,3.99,1.52,,,,,,,,,,,,,,
54,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
57,Alert semester 1,01-2019,"28a,28b",True,,2.15,2.15,201920,60 - PSU,F,Vigente,XII R. de Magallanes y La Anta,Particular Subvencionado,10,234,157,1,752,C - Casado,Solo,Isapre Masvida
57,Alert semester 2,08-2019,"28c,28d",True,,2.36,2.57,,,,,,,,,,,,,,
57,Alert semester 3,01-2020,28e,True,,2.95,4.13,,,,,,,,,,,,,,
57,Alert semester 4,08-2020,28e,True,,3.86,6.59,,,,,,,,,,,,,,
57,Alert semester 5,01-2021,28e,True,,3.54,2.27,,,,,,,,,,,,,,
57,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
60,Alert semester 1,01-2019,"28a,28b",True,,2.51,2.51,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,505,307,556,1,399,D - Divorciado,Otros parientes,Isapre Alemana Salud S.A.
60,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
60,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
60,Alert semester 4,08-2020,"28c,28d",True,,1.91,1.31,,,,,,,,,,,,,,
60,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
60,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
61,Alert semester 1,01-2019,"28a,28b",True,,3.34,3.34,201920,60 - PSU,F,Vigente,,Particular Subvencionado,426,306,80,1,267,C - Casado,Hogar de menores,Capredena
61,No Alert semester 2,08-2019,,,,4.8,6.27,,,,,,,,,,,,,,
61,Alert semester 3,01-2020,28e,True,,3.81,1.83,,,,,,,,,,,,,,
61,No Alert semester 4,08-2020,,,,4.53,6.67,,,,,,,,,,,,,,
61,No Alert semester 5,01-2021,,,,4.88,6.3,,,,,,,,,,,,,,
61,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
62,Alert semester 1,01-2019,"28a,28b",True,,2.48,2.48,201920,60 - PSU,M,Vigente,XIII R. Metropolitana,Particular Subvencionado,549,114,672,2,336,D - Divorciado,Solo con mi madre,Isapre Colmena Golden Cross SA
62,Alert semester 2,08-2019,"28c,28d",True,,2.18,1.88,,,,,,,,,,,,,,
62,Alert semester 3,01-2020,28e,True,,3.14,5.06,,,,,,,,,,,,,,
62,Alert semester 4,08-2020,28e,True,,3.48,4.49,,,,,,,,,,,,,,
62,Alert semester 5,01-2021,28e,True,,3.96,5.9,,,,,,,,,,,,,,
