Rut,Actividad,Timestamp,Tipo alerta,Alerta real,Tipo revisión,PPA,PPS,Periodo admisión,Tipo admisión,Sexo,Vigencia,Región,Establecimiento educacional,Ptj NEM,Ptj Ranking,Ptj Selección,Preferencia,Puesto ingreso,Estado Civil,Vive con,Sistema de Salud
14,Alert semester 2,08-2019,"28c,28d",True,,1.78,2.38,,,,,,,,,,,,,,
14,Alert semester 3,01-2020,28e,True,,2.84,4.96,,,,,,,,,,,,,,
14,Alert semester 4,08-2020,28e,True,,2.93,3.21,,,,,,,,,,,,,,
14,Alert semester 5,01-2021,28e,True,,3.17,4.11,,,,,,,,,,,,,,
14,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
15,Alert semester 1,01-2019,"28a,28b",True,,2.73,2.73,201920,60 - PSU,M,Vigente,XVI R. de Ñuble,Municipal,773,401,568,1,262,U - Acuerdo de Unión Civil,No Tiene,Sin Prevision
15,Alert semester 2,08-2019,"28c,28d",True,,2.46,2.19,,,,,,,,,,,,,,
15,Alert semester 3,01-2020,28e,True,,3.73,6.28,,,,,,,,,,,,,,
15,Alert semester 4,08-2020,28e,True,,3.36,2.26,,,,,,,,,,,,,,
15,Alert semester 5,01-2021,28e,True,,3.75,5.27,,,,,,,,,,,,,,
15,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
16,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Subvencionado,193,204,385,1,337,D - Divorciado,Solo,Isapre Chuquicamata
16,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
16,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
16,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
16,No Alert semester 5,01-2021,,,,5.99,5.99,,,,,,,,,,,,,,
16,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
18,Alert semester 1,01-2019,"28a,28b",True,,2.85,2.85,201920,60 - PSU,M,Vigente,I R. de Tarapaca,Particular Subvencionado,655,339,457,2,94,D - Divorciado,Uno De Los Padres,Isapre Alemana Salud S.A.
18,Alert semester 2,08-2019,"28c,28d",True,,1.98,1.11,,,,,,,,,,,,,,
18,Alert semester 3,01-2020,28e,True,,1.7,1.15,,,,,,,,,,,,,,
18,Alert semester 4,08-2020,28e,True,,2.72,5.78,,,,,,,,,,,,,,
18,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
18,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
20,No Alert semester 1,01-2019,,,,4.0,4.0,201920,60 - PSU,M,Vigente,No tiene,Particular Pagado,693,645,725,1,184,,Uno De Los Padres,Isapre San Lorenzo Ltda.
20,Alert semester 2,08-2019,"28c,28d",True,,2.76,1.52,,,,,,,,,,,,,,
20,Alert semester 3,01-2020,28e,True,,3.08,3.72,,,,,,,,,,,,,,
20,Alert semester 4,08-2020,28e,True,,3.12,3.26,,,,,,,,,,,,,,
20,Alert semester 5,01-2021,28e,True,,3.66,5.78,,,,,,,,,,,,,,
20,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
22,Alert semester 1,01-2019,"28a,28b",True,,2.45,2.45,201920,60 - PSU,F,Vigente,XV R. de Arica y Parinacota,Municipal,720,92,102,1,33,,Solo con mi padre,Isapre Alemana Salud S.A.
22,Alert semester 2,08-2019,28c,True,,3.38,4.3,,,,,,,,,,,,,,
22,Alert semester 3,01-2020,28e,True,,3.02,2.31,,,,,,,,,,,,,,
22,Alert semester 4,08-2020,28e,True,,2.78,2.04,,,,,,,,,,,,,,
22,Alert semester 5,01-2021,28e,True,,2.98,3.82,,,,,,,,,,,,,,
22,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
23,No Alert semester 1,01-2019,,,,6.04,6.04,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,160,127,444,2,789,D - Divorciado,"Con pareja (conyuge, conviv.)",Capredena
23,No Alert semester 2,08-2019,,,,5.25,4.47,,,,,,,,,,,,,,
23,No Alert semester 3,01-2020,,,,4.72,3.64,,,,,,,,,,,,,,
23,No Alert semester 4,08-2020,,,,4.75,4.83,,,,,,,,,,,,,,
23,No Alert semester 5,01-2021,,,,4.3,2.54,,,,,,,,,,,,,,
23,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
24,Alert semester 1,01-2019,"28a,28b",True,,2.25,2.25,201920,60 - PSU,M,Vigente,XIII R. Metropolitana,Particular Pagado,74,349,437,1,662,D - Divorciado,Solo con mi padre,Capredena
24,Alert semester 2,08-2019,"28c,28d",True,,2.45,2.64,,,,,,,,,,,,,,
24,Alert semester 3,01-2020,28e,True,,2.19,1.69,,,,,,,,,,,,,,
24,Alert semester 4,08-2020,28e,True,,2.7,4.23,,,,,,,,,,,,,,
24,Alert semester 5,01-2021,28e,True,,3.01,4.26,,,,,,,,,,,,,,
24,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
25,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,Vigente,V R. de Valparaíso,Particular Pagado,210,785,151,2,494,S - Soltero,Uno De Los Padres,Isapre Cruz Blanca S.A.
25,Alert semester 2,08-2019,"28a,28b",True,,1.4,1.4,,,,,,,,,,,,,,
25,Alert semester 3,01-2020,"28c,28d",True,,2.01,2.62,,,,,,,,,,,,,,
25,Alert semester 4,08-2020,28e,True,,2.54,3.6,,,,,,,,,,,,,,
25,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
25,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
26,Alert semester 1,01-2019,"28a,28b",True,,3.52,3.52,201920,60 - PSU,M,Vigente,II R. de Antofagasta,Particular Pagado,339,422,637,1,744,,Uno De Los Padres,Isapre Ing Salud S.A.
26,Alert semester 2,08-2019,28d,True,,4.37,5.21,,,,,,,,,,,,,,
26,Alert semester 3,01-2020,28e,True,,3.7,2.36,,,,,,,,,,,,,,
26,Alert semester 4,08-2020,28e,True,,3.39,2.47,,,,,,,,,,,,,,
26,Alert semester 5,01-2021,28e,True,,3.06,1.74,,,,,,,,,,,,,,
26,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
28,Alert semester 1,01-2019,"28a,28b",True,,2.18,2.18,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Municipal,250,676,623,1,266,C - Casado,"Con pareja (conyuge, conviv.)",Isapre Rio Blanco Ltda.
28,No Alert semester 2,08-2019,,,,4.3,6.42,,,,,,,,,,,,,,
28,Alert semester 3,01-2020,28e,True,,3.64,2.31,,,,,,,,,,,,,,
28,No Alert semester 4,08-2020,,,,4.31,6.33,,,,,,,,,,,,,,
28,No Alert semester 5,01-2021,,,,4.11,3.33,,,,,,,,,,,,,,
28,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
29,Alert semester 1,01-2019,"28a,28b",True,,2.81,2.81,201920,12 - Talentos e Inclusión,M,Vigente,,Particular Pagado,338,193,350,2,666,C - Casado,,Isapre Colmena Golden Cross SA
29,Alert semester 2,08-2019,"28c,28d",True,,3.79,4.77,,,,,,,,,,,,,,
29,No Alert semester 3,01-2020,,,,4.22,5.09,,,,,,,,,,,,,,
29,No Alert semester 4,08-2020,,,,4.37,4.81,,,,,,,,,,,,,,
29,No Alert semester 5,01-2021,,,,4.66,5.82,,,,,,,,,,,,,,
29,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
31,No Alert semester 1,01-2019,,,,6.94,6.94,201920,60 - PSU,M,Vigente,VII R. del Maule,Particular Pagado,521,340,300,1,626,D - Divorciado,El Conyuge,Isapre Rio Blanco Ltda.
31,Alert semester 2,08-2019,28d,True,,4.38,1.81,,,,,,,,,,,,,,
31,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
31,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
31,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
31,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
32,Alert semester 1,01-2019,"28a,28b",True,,2.6,2.6,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Subvencionado,730,162,259,2,561,C - Casado,Institucion,Isapre Colmena Golden Cross SA
32,Alert semester 2,08-2019,"28c,28d",True,,2.92,3.24,,,,,,,,,,,,,,
32,Alert semester 3,01-2020,28e,True,,2.64,2.09,,,,,,,,,,,,,,
32,Alert semester 4,08-2020,28e,True,,2.84,3.43,,,,,,,,,,,,,,
32,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
32,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
33,No Alert semester 1,01-2019,,,,5.75,5.75,201920,60 - PSU,F,Vigente,,Particular Pagado,239,361,626,1,587,C - Casado,Institucion,Fonasa
33,No Alert semester 2,08-2019,,,,5.08,4.42,,,,,,,,,,,,,,
33,No Alert semester 3,01-2020,,,,5.33,5.83,,,,,,,,,,,,,,
33,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
33,No Alert semester 5,01-2021,,,,5.47,5.89,,,,,,,,,,,,,,
33,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
34,Alert semester 1,01-2019,"28a,28b",True,,3.3,3.3,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Subvencionado,730,202,528,1,580,C - Casado,El Conyuge,Isapre Rio Blanco Ltda.
34,Alert semester 2,08-2019,28d,True,,4.45,5.59,,,,,,,,,,,,,,
34,Alert semester 3,01-2020,28e,True,,3.44,1.42,,,,,,,,,,,,,,
34,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
34,No Alert semester 5,01-2021,,,,4.16,6.33,,,,,,,,,,,,,,
34,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
36,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,Vigente,III R. de Atacama,Particular Pagado,85,139,250,2,590,C - Casado,Con ambos padres,Capredena
36,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
36,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
36,No Alert semester 4,08-2020,,,,5.21,5.21,,,,,,,,,,,,,,
36,Alert semester 5,01-2021,28c,True,,3.45,1.69,,,,,,,,,,,,,,
36,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
37,Alert semester 1,01-2019,"28a,28b",True,,3.66,3.66,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Pagado,427,713,341,2,93,,Solo con mi padre,Fonasa
37,Alert semester 2,08-2019,28d,True,,4.28,4.89,,,,,,,,,,,,,,
37,Alert semester 3,01-2020,28e,True,,3.73,2.65,,,,,,,,,,,,,,
37,Alert semester 4,08-2020,28e,True,,3.67,3.49,,,,,,,,,,,,,,
37,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
37,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
38,No Alert semester 1,01-2019,,,,5.86,5.86,201920,60 - PSU,M,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,369,272,474,1,463,D - Divorciado,Otros parientes,Isapre Fund Salud Trab BcoEsta
38,No Alert semester 2,08-2019,,,,4.59,3.32,,,,,,,,,,,,,,
38,No Alert semester 3,01-2020,,,,5.1,6.13,,,,,,,,,,,,,,
38,No Alert semester 4,08-2020,,,,4.72,3.58,,,,,,,,,,,,,,
38,No Alert semester 5,01-2021,,,,4.46,3.39,,,,,,,,,,,,,,
38,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
41,Alert semester 1,01-2019,"28a,28b",True,,1.44,1.44,201920,60 - PSU,M,Vigente,XIII R. Metropolitana,Particular Pagado,149,125,3,2,701,C - Casado,Uno De Los Padres,Isapre Colmena Golden Cross SA
41,Alert semester 2,08-2019,"28c,28d",True,,1.97,2.51,,,,,,,,,,,,,,
41,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
41,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
41,Alert semester 5,01-2021,28e,True,,3.61,6.87,,,,,,,,,,,,,,
41,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
43,Alert semester 1,01-2019,"28a,28b",True,,1.92,1.92,201920,56 - PACE,F,Vigente,III R. de Atacama,Particular Pagado,169,190,611,1,465,D - Divorciado,,Isapre Colmena Golden Cross SA
43,Alert semester 2,08-2019,28c,True,,3.38,4.84,,,,,,,,,,,,,,
43,No Alert semester 3,01-2020,,,,4.22,5.89,,,,,,,,,,,,,,
43,Alert semester 4,08-2020,28e,True,,3.77,2.43,,,,,,,,,,,,,,
43,No Alert semester 5,01-2021,,,,4.16,5.71,,,,,,,,,,,,,,
43,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
44,Alert semester 1,01-2019,"28a,28b",True,,2.63,2.63,201920,60 - PSU,F,Vigente,IX R. de la Araucanía,Particular Pagado,32,413,184,1,315,D - Divorciado,"Hermanos, Parientes, Amigos",Sin Prevision
44,Alert semester 2,08-2019,"28c,28d",True,,2.38,2.14,,,,,,,,,,,,,,
44,Alert semester 3,01-2020,28e,True,,3.83,6.71,,,,,,,,,,,,,,
44,No Alert semester 4,08-2020,,,,4.44,6.27,,,,,,,,,,,,,,
44,No Alert semester 5,01-2021,,,,4.08,2.63,,,,,,,,,,,,,,
44,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
45,Alert semester 1,01-2019,"28a,28b",True,,1.61,1.61,201920,60 - PSU,F,Vigente,XV R. de Arica y Parinacota,Particular Pagado,774,687,755,2,629,C - Casado,Hogar de menores,Isapre San Lorenzo Ltda.
45,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
45,Alert semester 3,01-2020,28c,True,,2.96,4.3,,,,,,,,,,,,,,
45,Alert semester 4,08-2020,28e,True,,3.26,3.87,,,,,,,,,,,,,,
45,Alert semester 5,01-2021,28e,True,,3.81,5.47,,,,,,,,,,,,,,
45,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
46,No Alert semester 1,01-2019,,,,5.86,5.86,201920,60 - PSU,F,Vigente,X R. de los Lagos,Particular Pagado,606,655,781,1,162,,Institucion,Isapre Ferrosalud S.A.
46,No Alert semester 2,08-2019,,,,4.77,3.67,,,,,,,,,,,,,,
46,No Alert semester 3,01-2020,,,,4.25,3.21,,,,,,,,,,,,,,
46,Alert semester 4,08-2020,28e,True,,3.92,2.95,,,,,,,,,,,,,,
46,Alert semester 5,01-2021,28e,True,,3.85,3.57,,,,,,,,,,,,,,
46,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
47,No Alert semester 1,01-2019,,,,6.25,6.25,201920,60 - PSU,F,Vigente,IV R. de Coquimbo,Particular Pagado,204,421,479,1,146,U - Acuerdo de Unión Civil,"Con pareja (conyuge, conviv.)",
47,No Alert semester 2,08-2019,,,,5.32,4.39,,,,,,,,,,,,,,
47,No Alert semester 3,01-2020,,,,4.48,2.79,,,,,,,,,,,,,,
47,No Alert semester 4,08-2020,,,,4.97,6.46,,,,,,,,,,,,,,
47,No Alert semester 5,01-2021,,,,4.77,3.97,,,,,,,,,,,,,,
47,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
48,Alert semester 1,01-2019,"28a,28b",True,,2.31,2.31,201920,60 - PSU,M,Vigente,X R. de los Lagos,Particular Pagado,540,395,121,2,177,S - Soltero,El Conyuge,Fonasa
48,No Alert semester 2,08-2019,,,,4.38,6.44,,,,,,,,,,,,,,
48,No Alert semester 3,01-2020,,,,4.44,4.57,,,,,,,,,,,,,,
48,No Alert semester 4,08-2020,,,,4.38,4.18,,,,,,,,,,,,,,
48,No Alert semester 5,01-2021,,,,4.18,3.4,,,,,,,,,,,,,,
48,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
50,No Alert semester 1,01-2019,,,,4.38,4.38,201920,60 - PSU,M,Vigente,II R. de Antofagasta,Particular Pagado,581,340,54,1,738,C - Casado,Con ambos padres,Isapre Fund Salud Trab BcoEsta
50,No Alert semester 2,08-2019,,,,5.33,6.29,,,,,,,,,,,,,,
50,No Alert semester 3,01-2020,,,,4.92,4.09,,,,,,,,,,,,,,
50,No Alert semester 4,08-2020,,,,5.39,6.8,,,,,,,,,,,,,,
50,No Alert semester 5,01-2021,,,,4.59,1.38,,,,,,,,,,,,,,
50,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
51,Alert semester 1,01-2019,"28a,28b",True,,1.71,1.71,201920,60 - PSU,M,Vigente,No tiene,Municipal,687,148,412,2,614,U - Acuerdo de Unión Civil,Solo con mi madre,Isapre San Lorenzo Ltda.
51,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
51,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
51,Alert semester 4,08-2020,"28c,28d",True,,1.44,1.16,,,,,,,,,,,,,,
51,Alert semester 5,01-2021,28e,True,,1.78,2.47,,,,,,,,,,,,,,
51,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
53,No Alert semester 1,01-2019,,,,5.03,5.03,201920,60 - PSU,M,Vigente,No tiene,Particular Pagado,705,578,776,2,769,U - Acuerdo de Unión Civil,"Hermanos, Parientes, Amigos",Isapre Banmedica S.A.
53,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
53,Alert semester 3,01-2020,28d,True,,4.25,3.46,,,,,,,,,,,,,,
53,No Alert semester 4,08-2020,,,,4.78,5.84,,,,,,,,,,,,,,
53,No Alert semester 5,01-2021,,,,4.79,4.84,,,,,,,,,,,,,,
53,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
54,No Alert semester 1,01-2019,,,,5.81,5.81,201920,60 - PSU,M,Vigente,,Particular Pagado,288,497,474,2,844,D - Divorciado,"Con pareja (conyuge, conviv.)",Isapre Consalud
54,No Alert semester 2,08-2019,,,,4.14,2.47,,,,,,,,,,,,,,
54,No Alert semester 3,01-2020,,,,4.46,5.1,,,,,,,,,,,,,,
54,No Alert semester 4,08-2020,,,,4.39,4.17,,,,,,,,,,,,,,
54,No Alert semester 5,01-2021,,,,4.28,3.83,,,,,,,,,,,,,,
54,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
57,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,IV R. de Coquimbo,Particular Pagado,24,328,55,2,742,,Solo con mi padre,
57,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
57,Alert semester 3,01-2020,"28a,28b",True,,3.4,3.4,,,,,,,,,,,,,,
57,No Alert semester 4,08-2020,,,,5.13,6.86,,,,,,,,,,,,,,
57,No Alert semester 5,01-2021,,,,5.07,4.95,,,,,,,,,,,,,,
57,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
60,Alert semester 1,01-2019,"28a,28b",True,,2.12,2.12,201920,12 - Talentos e Inclusión,F,Vigente,,Particular Pagado,127,457,248,2,53,,Solo con mi padre,Isapre Chuquicamata
60,Alert semester 2,08-2019,"28c,28d",True,,2.04,1.95,,,,,,,,,,,,,,
60,Alert semester 3,01-2020,28e,True,,1.84,1.46,,,,,,,,,,,,,,
60,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
60,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
60,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
61,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Pagado,487,711,107,1,558,U - Acuerdo de Unión Civil,Solo (Independiente),Isapre Cruz Blanca S.A.
