RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
25,201920,201920,INPROGRESS - En progreso,2.5,2.5,55,5,50,55,5,50
25,201920,201922,INPROGRESS - En progreso,1.8,2.15,15,5,10,70,10,60
25,201920,202020,INPROGRESS - En progreso,4.08,2.79,40,30,10,110,40,70
25,201920,202022,INPROGRESS - En progreso,1.71,2.52,15,5,10,125,45,80
25,201920,202120,INPROGRESS - En progreso,6.71,3.36,15,15,0,140,60,80
26,201920,201920,INPROGRESS - En progreso,2.16,2.16,45,5,40,45,5,40
26,201920,201922,INPROGRESS - En progreso,4.61,3.39,45,40,5,90,45,45
26,201920,202020,INPROGRESS - En progreso,3.51,3.43,30,5,25,120,50,70
26,201920,202022,INPROGRESS - En progreso,2.76,3.26,65,0,65,185,50,135
26,201920,202120,INPROGRESS - En progreso,2.47,3.1,40,5,35,225,55,170
28,201920,201920,INPROGRESS - En progreso,3.0,3.0,35,5,30,35,5,30
28,201920,201922,INPROGRESS - En progreso,3.83,3.42,20,0,20,55,5,50
29,201920,201920,INPROGRESS - En progreso,2.02,2.02,50,5,45,50,5,45
29,201920,201922,INPROGRESS - En progreso,1.37,1.7,25,5,20,75,10,65
29,201920,202020,INPROGRESS - En progreso,3.6,2.33,25,5,20,100,15,85
29,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,2.33,0,0,0,100,15,85
29,201920,202120,INPROGRESS - En progreso,1.4,2.1,45,5,40,145,20,125
31,201920,201920,INPROGRESS - En progreso,2.68,2.68,10,0,10,10,0,10
31,201920,201922,INPROGRESS - En progreso,4.37,3.53,10,5,5,20,5,15
31,201920,202020,INPROGRESS - En progreso,3.54,3.53,50,10,40,70,15,55
31,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.53,0,0,0,70,15,55
31,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.53,0,0,0,70,15,55
32,201920,201920,INPROGRESS - En progreso,2.84,2.84,15,0,15,15,0,15
32,201920,201922,INPROGRESS - En progreso,4.98,3.91,50,40,10,65,40,25
32,201920,202020,INPROGRESS - En progreso,3.12,3.65,25,0,25,90,40,50
32,201920,202022,INPROGRESS - En progreso,3.8,3.69,25,5,20,115,45,70
32,201920,202120,INPROGRESS - En progreso,4.35,3.82,45,30,15,160,75,85
33,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
33,201920,201922,INPROGRESS - En progreso,1.86,1.86,55,5,50,55,5,50
33,201920,202020,INPROGRESS - En progreso,4.71,3.29,65,65,0,120,70,50
33,201920,202022,INPROGRESS - En progreso,5.93,4.17,25,20,5,145,90,55
33,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.17,0,0,0,145,90,55
34,201920,201920,INPROGRESS - En progreso,1.97,1.97,50,5,45,50,5,45
34,201920,201922,INPROGRESS - En progreso,1.66,1.81,30,5,25,80,10,70
34,201920,202020,INPROGRESS - En progreso,4.86,2.83,10,10,0,90,20,70
34,201920,202022,INPROGRESS - En progreso,1.47,2.49,30,5,25,120,25,95
34,201920,202120,INPROGRESS - En progreso,2.97,2.59,45,0,45,165,25,140
36,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
36,201920,201922,INPROGRESS - En progreso,3.21,3.21,40,5,35,40,5,35
36,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.21,0,0,0,40,5,35
36,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.21,0,0,0,40,5,35
37,201920,201920,INPROGRESS - En progreso,2.42,2.42,15,0,15,15,0,15
37,201920,201922,INPROGRESS - En progreso,1.37,1.9,50,5,45,65,5,60
37,201920,202020,INPROGRESS - En progreso,3.4,2.4,25,5,20,90,10,80
37,201920,202022,INPROGRESS - En progreso,1.19,2.09,35,5,30,125,15,110
37,201920,202120,INPROGRESS - En progreso,4.12,2.5,50,40,10,175,55,120
38,201920,201920,INPROGRESS - En progreso,2.5,2.5,55,10,45,55,10,45
38,201920,201922,INPROGRESS - En progreso,5.13,3.81,35,35,0,90,45,45
38,201920,202020,INPROGRESS - En progreso,6.78,4.8,65,50,15,155,95,60
38,201920,202022,INPROGRESS - En progreso,2.26,4.17,55,0,55,210,95,115
38,201920,202120,INPROGRESS - En progreso,3.99,4.13,50,10,40,260,105,155
41,201920,201920,INPROGRESS - En progreso,5.94,5.94,45,35,10,45,35,10
41,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,5.94,0,0,0,45,35,10
41,201920,202020,INPROGRESS - En progreso,5.69,5.82,45,40,5,90,75,15
41,201920,202022,INPROGRESS - En progreso,3.27,4.97,45,5,40,135,80,55
41,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.97,0,0,0,135,80,55
43,201920,201920,INPROGRESS - En progreso,2.79,2.79,15,0,15,15,0,15
43,201920,201922,INPROGRESS - En progreso,3.83,3.31,10,0,10,25,0,25
43,201920,202020,INPROGRESS - En progreso,2.2,2.94,65,10,55,90,10,80
43,201920,202022,INPROGRESS - En progreso,3.62,3.11,40,5,35,130,15,115
43,201920,202120,INPROGRESS - En progreso,1.63,2.81,65,10,55,195,25,170
44,201920,201920,INPROGRESS - En progreso,2.39,2.39,10,0,10,10,0,10
44,201920,201922,INPROGRESS - En progreso,4.91,3.65,40,35,5,50,35,15
44,201920,202020,INPROGRESS - En progreso,5.1,4.13,45,40,5,95,75,20
44,201920,202022,INPROGRESS - En progreso,3.15,3.89,55,0,55,150,75,75
44,201920,202120,INPROGRESS - En progreso,2.97,3.7,65,5,60,215,80,135
45,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
45,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
45,201920,202020,INPROGRESS - En progreso,2.54,2.54,15,0,15,15,0,15
46,201920,201920,INPROGRESS - En progreso,2.51,2.51,65,5,60,65,5,60
46,201920,201922,INPROGRESS - En progreso,1.39,1.95,20,5,15,85,10,75
46,201920,202020,INPROGRESS - En progreso,3.73,2.54,45,0,45,130,10,120
46,201920,202022,INPROGRESS - En progreso,5.52,3.29,15,15,0,145,25,120
46,201920,202120,INPROGRESS - En progreso,6.08,3.85,10,10,0,155,35,120
47,201920,201920,INPROGRESS - En progreso,2.85,2.85,50,5,45,50,5,45
47,201920,201922,INPROGRESS - En progreso,1.91,2.38,35,5,30,85,10,75
47,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.38,0,0,0,85,10,75
47,201920,202022,INPROGRESS - En progreso,5.7,3.49,25,25,0,110,35,75
47,201920,202120,INPROGRESS - En progreso,5.43,3.97,35,25,10,145,60,85
48,201920,201920,INPROGRESS - En progreso,2.87,2.87,35,5,30,35,5,30
48,201920,201922,INPROGRESS - En progreso,1.65,2.26,65,10,55,100,15,85
48,201920,202020,INPROGRESS - En progreso,6.15,3.56,65,65,0,165,80,85
48,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.56,0,0,0,165,80,85
48,201920,202120,INPROGRESS - En progreso,3.15,3.46,20,0,20,185,80,105
50,201920,201920,INPROGRESS - En progreso,3.22,3.22,50,10,40,50,10,40
50,201920,201922,INPROGRESS - En progreso,1.54,2.38,65,0,65,115,10,105
50,201920,202020,INPROGRESS - En progreso,5.65,3.47,30,25,5,145,35,110
50,201920,202022,INPROGRESS - En progreso,6.62,4.26,35,30,5,180,65,115
50,201920,202120,INPROGRESS - En progreso,2.4,3.89,45,5,40,225,70,155
51,201920,201920,INPROGRESS - En progreso,5.38,5.38,60,50,10,60,50,10
51,201920,201922,INPROGRESS - En progreso,5.36,5.37,25,15,10,85,65,20
51,201920,202020,INPROGRESS - En progreso,1.66,4.13,60,10,50,145,75,70
51,201920,202022,INPROGRESS - En progreso,6.41,4.7,15,15,0,160,90,70
51,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.7,0,0,0,160,90,70
53,201920,201920,INPROGRESS - En progreso,4.25,4.25,40,35,5,40,35,5
53,201920,201922,INPROGRESS - En progreso,1.52,2.88,65,5,60,105,40,65
53,201920,202020,INPROGRESS - En progreso,6.55,4.11,65,45,20,170,85,85
53,201920,202022,INPROGRESS - En progreso,3.92,4.06,15,0,15,185,85,100
53,201920,202120,INPROGRESS - En progreso,4.35,4.12,50,35,15,235,120,115
54,201920,201920,INPROGRESS - En progreso,2.24,2.24,25,5,20,25,5,20
54,201920,201922,INPROGRESS - En progreso,6.86,4.55,20,20,0,45,25,20
54,201920,202020,INPROGRESS - En progreso,4.65,4.58,55,55,0,100,80,20
54,201920,202022,INPROGRESS - En progreso,4.68,4.61,55,40,15,155,120,35
54,201920,202120,INPROGRESS - En progreso,1.52,3.99,50,0,50,205,120,85
57,201920,201920,INPROGRESS - En progreso,2.15,2.15,40,0,40,40,0,40
57,201920,201922,INPROGRESS - En progreso,2.57,2.36,55,5,50,95,5,90
57,201920,202020,INPROGRESS - En progreso,4.13,2.95,35,30,5,130,35,95
57,201920,202022,INPROGRESS - En progreso,6.59,3.86,40,30,10,170,65,105
57,201920,202120,INPROGRESS - En progreso,2.27,3.54,45,5,40,215,70,145
60,201920,201920,INPROGRESS - En progreso,2.51,2.51,30,5,25,30,5,25
60,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.51,0,0,0,30,5,25
60,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.51,0,0,0,30,5,25
60,201920,202022,INPROGRESS - En progreso,1.31,1.91,10,0,10,40,5,35
60,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,1.91,0,0,0,40,5,35
61,201920,201920,INPROGRESS - En progreso,3.34,3.34,20,0,20,20,0,20
61,201920,201922,INPROGRESS - En progreso,6.27,4.8,25,25,0,45,25,20
61,201920,202020,INPROGRESS - En progreso,1.83,3.81,20,0,20,65,25,40
61,201920,202022,INPROGRESS - En progreso,6.67,4.53,25,20,5,90,45,45
61,201920,202120,INPROGRESS - En progreso,6.3,4.88,65,60,5,155,105,50
62,201920,201920,INPROGRESS - En progreso,2.48,2.48,65,0,65,65,0,65
62,201920,201922,INPROGRESS - En progreso,1.88,2.18,15,5,10,80,5,75
62,201920,202020,INPROGRESS - En progreso,5.06,3.14,15,10,5,95,15,80
62,201920,202022,INPROGRESS - En progreso,4.49,3.48,30,25,5,125,40,85
62,201920,202120,INPROGRESS - En progreso,5.9,3.96,45,40,5,170,80,90
63,201920,201920,INPROGRESS - En progreso,2.57,2.57,15,0,15,15,0,15
63,201920,201922,INPROGRESS - En progreso,1.1,1.83,30,5,25,45,5,40
63,201920,202020,INPROGRESS - En progreso,2.12,1.93,35,5,30,80,10,70
63,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,1.93,0,0,0,80,10,70
63,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,1.93,0,0,0,80,10,70
64,201920,201920,INPROGRESS - En progreso,5.76,5.76,55,45,10,55,45,10
64,201920,201922,INPROGRESS - En progreso,6.98,6.37,45,35,10,100,80,20
64,201920,202020,INPROGRESS - En progreso,1.88,4.87,45,10,35,145,90,55
64,201920,202022,INPROGRESS - En progreso,3.63,4.56,55,5,50,200,95,105
64,201920,202120,INPROGRESS - En progreso,2.69,4.19,10,0,10,210,95,115
65,201920,201920,INPROGRESS - En progreso,6.77,6.77,10,5,5,10,5,5
65,201920,201922,INPROGRESS - En progreso,4.67,5.72,15,10,5,25,15,10
65,201920,202020,INPROGRESS - En progreso,3.05,4.83,20,0,20,45,15,30
65,201920,202022,INPROGRESS - En progreso,3.02,4.38,55,5,50,100,20,80
65,201920,202120,INPROGRESS - En progreso,2.5,4.0,65,5,60,165,25,140
66,201920,201920,INPROGRESS - En progreso,1.93,1.93,55,5,50,55,5,50
66,201920,201922,INPROGRESS - En progreso,3.58,2.75,55,5,50,110,10,100
66,201920,202020,INPROGRESS - En progreso,6.7,4.07,45,35,10,155,45,110
66,201920,202022,INPROGRESS - En progreso,6.12,4.58,60,40,20,215,85,130
66,201920,202120,INPROGRESS - En progreso,4.37,4.54,30,30,0,245,115,130
67,201920,201920,INPROGRESS - En progreso,2.19,2.19,55,5,50,55,5,50
67,201920,201922,INPROGRESS - En progreso,2.7,2.45,15,0,15,70,5,65
67,201920,202020,INPROGRESS - En progreso,3.08,2.66,50,0,50,120,5,115
67,201920,202022,INPROGRESS - En progreso,4.9,3.22,60,40,20,180,45,135
67,201920,202120,INPROGRESS - En progreso,3.41,3.26,45,5,40,225,50,175
68,201920,201920,INPROGRESS - En progreso,2.67,2.67,15,0,15,15,0,15
68,201920,201922,INPROGRESS - En progreso,1.37,2.02,20,5,15,35,5,30
68,201920,202020,INPROGRESS - En progreso,4.23,2.76,10,5,5,45,10,35
68,201920,202022,INPROGRESS - En progreso,2.41,2.67,40,5,35,85,15,70
68,201920,202120,INPROGRESS - En progreso,2.17,2.57,60,5,55,145,20,125
69,201920,201920,INPROGRESS - En progreso,2.46,2.46,10,0,10,10,0,10
69,201920,201922,INPROGRESS - En progreso,6.16,4.31,20,15,5,30,15,15
69,201920,202020,INPROGRESS - En progreso,4.02,4.21,25,20,5,55,35,20
69,201920,202022,INPROGRESS - En progreso,5.82,4.62,60,60,0,115,95,20
69,201920,202120,INPROGRESS - En progreso,5.78,4.85,65,50,15,180,145,35
71,201920,201920,INPROGRESS - En progreso,1.81,1.81,30,5,25,30,5,25
71,201920,201922,INPROGRESS - En progreso,2.53,2.17,55,10,45,85,15,70
71,201920,202020,INPROGRESS - En progreso,6.91,3.75,55,50,5,140,65,75
71,201920,202022,INPROGRESS - En progreso,3.62,3.72,40,5,35,180,70,110
71,201920,202120,INPROGRESS - En progreso,4.41,3.86,45,40,5,225,110,115
73,201920,201920,INPROGRESS - En progreso,1.37,1.37,20,0,20,20,0,20
73,201920,201922,INPROGRESS - En progreso,2.39,1.88,55,10,45,75,10,65
73,201920,202020,INPROGRESS - En progreso,4.09,2.62,35,30,5,110,40,70
73,201920,202022,INPROGRESS - En progreso,1.16,2.25,30,5,25,140,45,95
73,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.25,0,0,0,140,45,95
74,201920,201920,INPROGRESS - En progreso,2.4,2.4,10,0,10,10,0,10
74,201920,201922,INPROGRESS - En progreso,4.2,3.3,55,50,5,65,50,15
74,201920,202020,INPROGRESS - En progreso,5.64,4.08,35,25,10,100,75,25
74,201920,202022,INPROGRESS - En progreso,4.14,4.09,45,30,15,145,105,40
74,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.09,0,0,0,145,105,40
75,201920,201920,INPROGRESS - En progreso,2.68,2.68,65,5,60,65,5,60
75,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.68,0,0,0,65,5,60
75,201920,202020,INPROGRESS - En progreso,6.6,4.64,35,25,10,100,30,70
75,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.64,0,0,0,100,30,70
78,201920,201920,INPROGRESS - En progreso,5.72,5.72,55,50,5,55,50,5
78,201920,201922,INPROGRESS - En progreso,2.61,4.17,60,0,60,115,50,65
78,201920,202020,INPROGRESS - En progreso,3.74,4.02,40,10,30,155,60,95
78,201920,202022,INPROGRESS - En progreso,2.16,3.56,30,5,25,185,65,120
78,201920,202120,INPROGRESS - En progreso,4.3,3.71,10,5,5,195,70,125
79,201920,201920,INPROGRESS - En progreso,2.62,2.62,20,5,15,20,5,15
79,201920,201922,INPROGRESS - En progreso,4.44,3.53,65,50,15,85,55,30
79,201920,202020,INPROGRESS - En progreso,5.09,4.05,55,45,10,140,100,40
79,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.05,0,0,0,140,100,40
79,201920,202120,INPROGRESS - En progreso,2.47,3.66,55,5,50,195,105,90
80,201920,201920,INPROGRESS - En progreso,2.52,2.52,65,5,60,65,5,60
80,201920,201922,INPROGRESS - En progreso,4.71,3.62,25,25,0,90,30,60
80,201920,202020,INPROGRESS - En progreso,6.92,4.72,35,35,0,125,65,60
80,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.72,0,0,0,125,65,60
80,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.72,0,0,0,125,65,60
81,201920,201920,INPROGRESS - En progreso,1.36,1.36,65,5,60,65,5,60
81,201920,201922,INPROGRESS - En progreso,5.43,3.4,25,20,5,90,25,65
81,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.4,0,0,0,90,25,65
81,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.4,0,0,0,90,25,65
81,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.4,0,0,0,90,25,65
82,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
83,201920,201920,INPROGRESS - En progreso,3.72,3.72,35,0,35,35,0,35
83,201920,201922,INPROGRESS - En progreso,3.47,3.6,30,5,25,65,5,60
83,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.6,0,0,0,65,5,60
83,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.6,0,0,0,65,5,60
83,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.6,0,0,0,65,5,60
84,201920,201920,INPROGRESS - En progreso,2.65,2.65,40,5,35,40,5,35
84,201920,201922,INPROGRESS - En progreso,6.86,4.75,40,40,0,80,45,35
84,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,4.75,0,0,0,80,45,35
84,201920,202022,INPROGRESS - En progreso,2.78,4.1,65,10,55,145,55,90
84,201920,202120,INPROGRESS - En progreso,4.93,4.3,60,50,10,205,105,100
85,201920,201920,INPROGRESS - En progreso,2.98,2.98,25,5,20,25,5,20
85,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.98,0,0,0,25,5,20
85,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.98,0,0,0,25,5,20
85,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,2.98,0,0,0,25,5,20
85,201920,202120,INPROGRESS - En progreso,6.04,4.51,35,30,5,60,35,25
86,201920,201920,INPROGRESS - En progreso,1.74,1.74,40,0,40,40,0,40
86,201920,201922,INPROGRESS - En progreso,2.8,2.27,25,5,20,65,5,60
86,201920,202020,INPROGRESS - En progreso,1.36,1.97,55,0,55,120,5,115
86,201920,202022,INPROGRESS - En progreso,6.02,2.98,40,25,15,160,30,130
86,201920,202120,INPROGRESS - En progreso,5.48,3.48,55,45,10,215,75,140
87,201920,201920,INPROGRESS - En progreso,5.23,5.23,50,40,10,50,40,10
87,201920,201922,INPROGRESS - En progreso,6.92,6.08,20,20,0,70,60,10
87,201920,202020,INPROGRESS - En progreso,2.95,5.03,65,5,60,135,65,70
87,201920,202022,INPROGRESS - En progreso,2.65,4.44,55,5,50,190,70,120
87,201920,202120,INPROGRESS - En progreso,2.96,4.14,60,10,50,250,80,170
88,201920,201920,INPROGRESS - En progreso,2.99,2.99,30,5,25,30,5,25
88,201920,201922,INPROGRESS - En progreso,5.06,4.03,15,15,0,45,20,25
88,201920,202020,INPROGRESS - En progreso,3.78,3.94,50,10,40,95,30,65
88,201920,202022,INPROGRESS - En progreso,1.14,3.24,30,0,30,125,30,95
88,201920,202120,INPROGRESS - En progreso,1.45,2.88,30,5,25,155,35,120
89,201920,201920,INPROGRESS - En progreso,5.14,5.14,25,20,5,25,20,5
89,201920,201922,INPROGRESS - En progreso,1.88,3.51,55,5,50,80,25,55
