RUT,ESCUELA,ESTADO CIVIL,NOMBRE DEPENDENCIA EDUCACIONAL,SISTEMA DE SALUD,VIVE CON,REGIÓN
37,17 - Derecho,,Particular Pagado,Fonasa,Solo con mi padre,XIV R. de los Rios
38,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Fund Salud Trab BcoEsta,Otros parientes,XI R. de Aysen del G.C.Ibañez
39,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Consalud,Otros,XI R. de Aysen del G.C.Ibañez
40,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Masvida,Hogar de menores,XIV R. de los Rios
41,17 - Derecho,C - Casado,Particular Pagado,Isapre Colmena Golden Cross SA,Uno De Los Padres,XIII R. Metropolitana
42,17 - Derecho,U - Acuerdo de Unión Civil,Municipal,Sin Prevision,Solo,XIII R. Metropolitana
43,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Colmena Golden Cross SA,,III R. de Atacama
44,17 - Derecho,D - Divorciado,Particular Pagado,Sin Prevision,"Hermanos, Parientes, Amigos",IX R. de la Araucanía
45,17 - Derecho,C - Casado,Particular Pagado,Isapre San Lorenzo Ltda.,Hogar de menores,XV R. de Arica y Parinacota
46,17 - Derecho,,Particular Pagado,Isapre Ferrosalud S.A.,Institucion,X R. de los Lagos
47,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,,"Con pareja (conyuge, conviv.)",IV R. de Coquimbo
48,17 - Derecho,S - Soltero,Particular Pagado,Fonasa,El Conyuge,X R. de los Lagos
49,17 - Derecho,,Particular Pagado,Isapre Rio Blanco Ltda.,Otros parientes,I R. de Tarapaca
50,17 - Derecho,C - Casado,Particular Pagado,Isapre Fund Salud Trab BcoEsta,Con ambos padres,II R. de Antofagasta
51,17 - Derecho,U - Acuerdo de Unión Civil,Municipal,Isapre San Lorenzo Ltda.,Solo con mi madre,No tiene
52,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Consalud,,
53,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Banmedica S.A.,"Hermanos, Parientes, Amigos",No tiene
54,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Consalud,"Con pareja (conyuge, conviv.)",
55,17 - Derecho,U - Acuerdo de Unión Civil,Particular Subvencionado,Isapre Vida Tres S.A.,"Hermanos, Parientes, Amigos",VIII R. del Biobío
56,17 - Derecho,C - Casado,Particular Pagado,Isapre Alemana Salud S.A.,"Hermanos, Parientes, Amigos",VIII R. del Biobío
57,17 - Derecho,,Particular Pagado,,Solo con mi padre,IV R. de Coquimbo
58,17 - Derecho,C - Casado,Particular Pagado,Isapre Fund Salud Trab BcoEsta,No Tiene,XV R. de Arica y Parinacota
59,17 - Derecho,S - Soltero,Particular Pagado,,El Conyuge,XI R. de Aysen del G.C.Ibañez
60,17 - Derecho,,Particular Pagado,Isapre Chuquicamata,Solo con mi padre,
61,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Cruz Blanca S.A.,Solo (Independiente),XIV R. de los Rios
62,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Banmedica S.A.,Institucion,XV R. de Arica y Parinacota
63,17 - Derecho,S - Soltero,Particular Subvencionado,Isapre Fund Salud Trab BcoEsta,Solo (Independiente),I R. de Tarapaca
64,17 - Derecho,C - Casado,Particular Pagado,Isapre Consalud,Institucion,I R. de Tarapaca
65,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Consalud S.A.,Solo con mi madre,V R. de Valparaíso
66,17 - Derecho,S - Soltero,Particular Pagado,Isapre Fund. Salud El Teniente,Solo con mi padre,XIII R. Metropolitana
67,17 - Derecho,C - Casado,Municipal,Isapre Chuquicamata,Uno De Los Padres,XVI R. de Ñuble
68,17 - Derecho,C - Casado,Particular Subvencionado,Isapre Consalud,Solo con mi padre,XIII R. Metropolitana
69,17 - Derecho,,Particular Pagado,Isapre Banmedica S.A.,Solo con mi padre,XVI R. de Ñuble
70,17 - Derecho,S - Soltero,Particular Pagado,,"Hermanos, Parientes, Amigos",XI R. de Aysen del G.C.Ibañez
71,17 - Derecho,S - Soltero,Particular Subvencionado,,"Hermanos, Parientes, Amigos",XIII R. Metropolitana
72,17 - Derecho,C - Casado,Particular Pagado,Fonasa,Solo,III R. de Atacama
73,17 - Derecho,C - Casado,Particular Pagado,Isapre Ferrosalud S.A.,No Tiene,
74,17 - Derecho,,Particular Subvencionado,Isapre Fund Salud Trab BcoEsta,No Tiene,II R. de Antofagasta
75,17 - Derecho,C - Casado,Particular Pagado,Isapre Ferrosalud S.A.,"Con pareja (conyuge, conviv.)",XVI R. de Ñuble
76,17 - Derecho,S - Soltero,Particular Subvencionado,Isapre Alemana Salud S.A.,Uno De Los Padres,No tiene
77,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Vida Tres S.A.,Solo (Independiente),IX R. de la Araucanía
78,17 - Derecho,,Particular Pagado,Isapre San Lorenzo Ltda.,Ambos Padres,XIV R. de los Rios
79,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Vida Tres S.A.,,No tiene
80,17 - Derecho,,Particular Pagado,Isapre Consalud S.A.,Hogar de menores,V R. de Valparaíso
81,17 - Derecho,,Particular Pagado,Otra Institución,No Tiene,X R. de los Lagos
82,17 - Derecho,,Particular Pagado,Isapre Rio Blanco Ltda.,Solo con mi padre,XI R. de Aysen del G.C.Ibañez
83,17 - Derecho,S - Soltero,Particular Pagado,Isapre Ferrosalud S.A.,Solo con mi padre,VII R. del Maule
84,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Consalud S.A.,Solo con mi madre,VI R. del L.B.OHiggins
85,17 - Derecho,,Particular Pagado,Isapre Vida Tres S.A.,"Con pareja (conyuge, conviv.)",VI R. del L.B.OHiggins
86,17 - Derecho,U - Acuerdo de Unión Civil,Particular Subvencionado,Fonasa,Otros,V R. de Valparaíso
87,17 - Derecho,U - Acuerdo de Unión Civil,Particular Subvencionado,Isapre Masvida,Hogar de menores,XII R. de Magallanes y La Anta
88,17 - Derecho,D - Divorciado,Particular Pagado,Isapre Chuquicamata,Hogar de menores,
89,17 - Derecho,C - Casado,Particular Pagado,Sin Prevision,Solo (Independiente),V R. de Valparaíso
90,17 - Derecho,U - Acuerdo de Unión Civil,Municipal,Isapre San Lorenzo Ltda.,"Con pareja (conyuge, conviv.)",XI R. de Aysen del G.C.Ibañez
91,17 - Derecho,,Particular Pagado,Isapre Ing Salud S.A.,No Tiene,XVI R. de Ñuble
92,17 - Derecho,S - Soltero,Particular Subvencionado,Isapre Ferrosalud S.A.,Hogar de menores,I R. de Tarapaca
93,17 - Derecho,S - Soltero,Particular Subvencionado,Isapre Masvida,Con ambos padres,I R. de Tarapaca
94,17 - Derecho,D - Divorciado,Particular Subvencionado,Isapre Chuquicamata,Otros parientes,VI R. del L.B.OHiggins
95,17 - Derecho,C - Casado,Particular Pagado,Isapre Vida Tres S.A.,"Con pareja (conyuge, conviv.)",XV R. de Arica y Parinacota
96,17 - Derecho,,Particular Pagado,Isapre Cruz Blanca S.A.,Solo,V R. de Valparaíso
97,17 - Derecho,,Particular Pagado,Otra Institución,No Tiene,IV R. de Coquimbo
98,17 - Derecho,U - Acuerdo de Unión Civil,Particular Pagado,Isapre Chuquicamata,Con ambos padres,XI R. de Aysen del G.C.Ibañez
99,17 - Derecho,D - Divorciado,Particular Pagado,Isapre San Lorenzo Ltda.,Uno De Los Padres,IV R. de Coquimbo
100,17 - Derecho,D - Divorciado,Particular Pagado,Otra Institución,Ambos Padres,X R. de los Lagos
