RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
5,201920,202020,INPROGRESS - En progreso,3.0,4.33,40,5,35,70,30,40
5,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.33,0,0,0,70,30,40
5,201920,202120,INPROGRESS - En progreso,2.48,3.72,15,0,15,85,30,55
6,201920,201920,INPROGRESS - En progreso,3.19,3.19,20,5,15,20,5,15
6,201920,201922,INPROGRESS - En progreso,3.68,3.44,25,5,20,45,10,35
6,201920,202020,INPROGRESS - En progreso,3.52,3.46,40,0,40,85,10,75
6,201920,202022,INPROGRESS - En progreso,6.94,4.33,10,5,5,95,15,80
6,201920,202120,INPROGRESS - En progreso,2.82,4.03,10,0,10,105,15,90
7,201920,201920,INPROGRESS - En progreso,6.98,6.98,55,50,5,55,50,5
7,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,6.98,0,0,0,55,50,5
7,201920,202020,INPROGRESS - En progreso,6.94,6.96,25,20,5,80,70,10
7,201920,202022,INPROGRESS - En progreso,5.64,6.52,35,35,0,115,105,10
7,201920,202120,INPROGRESS - En progreso,1.44,5.25,15,0,15,130,105,25
8,201920,201920,INPROGRESS - En progreso,1.09,1.09,35,5,30,35,5,30
8,201920,201922,INPROGRESS - En progreso,1.76,1.43,55,5,50,90,10,80
8,201920,202020,INPROGRESS - En progreso,1.81,1.55,40,0,40,130,10,120
8,201920,202022,INPROGRESS - En progreso,2.86,1.88,25,5,20,155,15,140
8,201920,202120,INPROGRESS - En progreso,5.35,2.57,20,20,0,175,35,140
9,201920,201920,INPROGRESS - En progreso,2.18,2.18,40,5,35,40,5,35
9,201920,201922,INPROGRESS - En progreso,1.47,1.83,10,0,10,50,5,45
9,201920,202020,INPROGRESS - En progreso,4.07,2.57,30,20,10,80,25,55
9,201920,202022,INPROGRESS - En progreso,2.54,2.57,55,5,50,135,30,105
9,201920,202120,INPROGRESS - En progreso,2.05,2.46,65,15,50,200,45,155
10,201920,201920,INPROGRESS - En progreso,2.17,2.17,50,5,45,50,5,45
10,201920,201922,INPROGRESS - En progreso,4.69,3.43,30,20,10,80,25,55
10,201920,202020,INPROGRESS - En progreso,5.49,4.12,15,10,5,95,35,60
10,201920,202022,INPROGRESS - En progreso,2.49,3.71,10,0,10,105,35,70
10,201920,202120,INPROGRESS - En progreso,4.19,3.81,20,15,5,125,50,75
11,201920,201920,INPROGRESS - En progreso,6.35,6.35,35,30,5,35,30,5
11,201920,201922,INPROGRESS - En progreso,4.51,5.43,20,15,5,55,45,10
11,201920,202020,INPROGRESS - En progreso,3.85,4.9,35,5,30,90,50,40
11,201920,202022,INPROGRESS - En progreso,1.13,3.96,60,0,60,150,50,100
11,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.96,0,0,0,150,50,100
12,201920,201920,INPROGRESS - En progreso,2.38,2.38,15,0,15,15,0,15
12,201920,201922,INPROGRESS - En progreso,3.21,2.79,10,0,10,25,0,25
12,201920,202020,INPROGRESS - En progreso,5.76,3.78,35,25,10,60,25,35
12,201920,202022,INPROGRESS - En progreso,6.41,4.44,40,40,0,100,65,35
12,201920,202120,INPROGRESS - En progreso,6.18,4.79,55,35,20,155,100,55
13,201920,201920,INPROGRESS - En progreso,3.28,3.28,10,0,10,10,0,10
13,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,3.28,0,0,0,10,0,10
13,201920,202020,INPROGRESS - En progreso,4.84,4.06,30,30,0,40,30,10
13,201920,202022,INPROGRESS - En progreso,3.33,3.82,65,10,55,105,40,65
13,201920,202120,INPROGRESS - En progreso,3.64,3.77,50,0,50,155,40,115
14,201920,201920,INPROGRESS - En progreso,1.18,1.18,55,0,55,55,0,55
14,201920,201922,INPROGRESS - En progreso,2.38,1.78,65,0,65,120,0,120
14,201920,202020,INPROGRESS - En progreso,4.96,2.84,45,35,10,165,35,130
14,201920,202022,INPROGRESS - En progreso,3.21,2.93,20,5,15,185,40,145
14,201920,202120,INPROGRESS - En progreso,4.11,3.17,35,30,5,220,70,150
15,201920,201920,INPROGRESS - En progreso,2.73,2.73,25,0,25,25,0,25
15,201920,201922,INPROGRESS - En progreso,2.19,2.46,40,5,35,65,5,60
15,201920,202020,INPROGRESS - En progreso,6.28,3.73,40,30,10,105,35,70
15,201920,202022,INPROGRESS - En progreso,2.26,3.36,20,0,20,125,35,90
15,201920,202120,INPROGRESS - En progreso,5.27,3.75,30,30,0,155,65,90
16,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
16,201920,202120,INPROGRESS - En progreso,5.99,5.99,40,35,5,40,35,5
18,201920,201920,INPROGRESS - En progreso,2.85,2.85,30,5,25,30,5,25
18,201920,201922,INPROGRESS - En progreso,1.11,1.98,20,0,20,50,5,45
18,201920,202020,INPROGRESS - En progreso,1.15,1.7,30,0,30,80,5,75
18,201920,202022,INPROGRESS - En progreso,5.78,2.72,60,40,20,140,45,95
18,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.72,0,0,0,140,45,95
20,201920,201920,INPROGRESS - En progreso,4.0,4.0,20,15,5,20,15,5
20,201920,201922,INPROGRESS - En progreso,1.52,2.76,65,5,60,85,20,65
20,201920,202020,INPROGRESS - En progreso,3.72,3.08,60,10,50,145,30,115
20,201920,202022,INPROGRESS - En progreso,3.26,3.12,55,5,50,200,35,165
20,201920,202120,INPROGRESS - En progreso,5.78,3.66,35,30,5,235,65,170
22,201920,201920,INPROGRESS - En progreso,2.45,2.45,15,0,15,15,0,15
22,201920,201922,INPROGRESS - En progreso,4.3,3.38,30,25,5,45,25,20
22,201920,202020,INPROGRESS - En progreso,2.31,3.02,15,0,15,60,25,35
22,201920,202022,INPROGRESS - En progreso,2.04,2.78,35,5,30,95,30,65
22,201920,202120,INPROGRESS - En progreso,3.82,2.98,50,10,40,145,40,105
23,201920,201920,INPROGRESS - En progreso,6.04,6.04,65,50,15,65,50,15
23,201920,201922,INPROGRESS - En progreso,4.47,5.25,65,45,20,130,95,35
23,201920,202020,INPROGRESS - En progreso,3.64,4.72,50,5,45,180,100,80
23,201920,202022,INPROGRESS - En progreso,4.83,4.75,50,40,10,230,140,90
23,201920,202120,INPROGRESS - En progreso,2.54,4.3,60,5,55,290,145,145
24,201920,201920,INPROGRESS - En progreso,2.25,2.25,20,5,15,20,5,15
24,201920,201922,INPROGRESS - En progreso,2.64,2.45,45,0,45,65,5,60
24,201920,202020,INPROGRESS - En progreso,1.69,2.19,10,0,10,75,5,70
24,201920,202022,INPROGRESS - En progreso,4.23,2.7,10,10,0,85,15,70
24,201920,202120,INPROGRESS - En progreso,4.26,3.01,55,40,15,140,55,85
25,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
25,201920,201922,INPROGRESS - En progreso,1.4,1.4,50,5,45,50,5,45
25,201920,202020,INPROGRESS - En progreso,2.62,2.01,45,5,40,95,10,85
25,201920,202022,INPROGRESS - En progreso,3.6,2.54,45,5,40,140,15,125
25,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.54,0,0,0,140,15,125
26,201920,201920,INPROGRESS - En progreso,3.52,3.52,10,0,10,10,0,10
26,201920,201922,INPROGRESS - En progreso,5.21,4.37,10,5,5,20,5,15
26,201920,202020,INPROGRESS - En progreso,2.36,3.7,60,5,55,80,10,70
26,201920,202022,INPROGRESS - En progreso,2.47,3.39,45,0,45,125,10,115
26,201920,202120,INPROGRESS - En progreso,1.74,3.06,50,5,45,175,15,160
28,201920,201920,INPROGRESS - En progreso,2.18,2.18,65,10,55,65,10,55
28,201920,201922,INPROGRESS - En progreso,6.42,4.3,35,30,5,100,40,60
28,201920,202020,INPROGRESS - En progreso,2.31,3.64,25,5,20,125,45,80
28,201920,202022,INPROGRESS - En progreso,6.33,4.31,20,20,0,145,65,80
28,201920,202120,INPROGRESS - En progreso,3.33,4.11,40,5,35,185,70,115
29,201920,201920,INPROGRESS - En progreso,2.81,2.81,65,0,65,65,0,65
29,201920,201922,INPROGRESS - En progreso,4.77,3.79,10,5,5,75,5,70
29,201920,202020,INPROGRESS - En progreso,5.09,4.22,35,25,10,110,30,80
29,201920,202022,INPROGRESS - En progreso,4.81,4.37,35,30,5,145,60,85
29,201920,202120,INPROGRESS - En progreso,5.82,4.66,45,30,15,190,90,100
31,201920,201920,INPROGRESS - En progreso,6.94,6.94,60,40,20,60,40,20
31,201920,201922,INPROGRESS - En progreso,1.81,4.38,60,5,55,120,45,75
31,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,4.38,0,0,0,120,45,75
31,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.38,0,0,0,120,45,75
31,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.38,0,0,0,120,45,75
32,201920,201920,INPROGRESS - En progreso,2.6,2.6,35,5,30,35,5,30
32,201920,201922,INPROGRESS - En progreso,3.24,2.92,60,10,50,95,15,80
32,201920,202020,INPROGRESS - En progreso,2.09,2.64,45,5,40,140,20,120
32,201920,202022,INPROGRESS - En progreso,3.43,2.84,25,5,20,165,25,140
32,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.84,0,0,0,165,25,140
33,201920,201920,INPROGRESS - En progreso,5.75,5.75,35,35,0,35,35,0
33,201920,201922,INPROGRESS - En progreso,4.42,5.08,25,20,5,60,55,5
33,201920,202020,INPROGRESS - En progreso,5.83,5.33,30,20,10,90,75,15
33,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,5.33,0,0,0,90,75,15
33,201920,202120,INPROGRESS - En progreso,5.89,5.47,40,30,10,130,105,25
34,201920,201920,INPROGRESS - En progreso,3.3,3.3,65,5,60,65,5,60
34,201920,201922,INPROGRESS - En progreso,5.59,4.45,40,30,10,105,35,70
34,201920,202020,INPROGRESS - En progreso,1.42,3.44,35,0,35,140,35,105
34,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.44,0,0,0,140,35,105
34,201920,202120,INPROGRESS - En progreso,6.33,4.16,60,60,0,200,95,105
36,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
36,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
36,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
36,201920,202022,INPROGRESS - En progreso,5.21,5.21,40,40,0,40,40,0
36,201920,202120,INPROGRESS - En progreso,1.69,3.45,15,0,15,55,40,15
37,201920,201920,INPROGRESS - En progreso,3.66,3.66,50,0,50,50,0,50
37,201920,201922,INPROGRESS - En progreso,4.89,4.28,10,5,5,60,5,55
37,201920,202020,INPROGRESS - En progreso,2.65,3.73,35,5,30,95,10,85
37,201920,202022,INPROGRESS - En progreso,3.49,3.67,50,5,45,145,15,130
37,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.67,0,0,0,145,15,130
38,201920,201920,INPROGRESS - En progreso,5.86,5.86,15,15,0,15,15,0
38,201920,201922,INPROGRESS - En progreso,3.32,4.59,20,0,20,35,15,20
38,201920,202020,INPROGRESS - En progreso,6.13,5.1,50,45,5,85,60,25
38,201920,202022,INPROGRESS - En progreso,3.58,4.72,45,5,40,130,65,65
38,201920,202120,INPROGRESS - En progreso,3.39,4.46,30,0,30,160,65,95
41,201920,201920,INPROGRESS - En progreso,1.44,1.44,25,0,25,25,0,25
41,201920,201922,INPROGRESS - En progreso,2.51,1.97,25,0,25,50,0,50
41,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,1.97,0,0,0,50,0,50
41,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,1.97,0,0,0,50,0,50
41,201920,202120,INPROGRESS - En progreso,6.87,3.61,25,20,5,75,20,55
43,201920,201920,INPROGRESS - En progreso,1.92,1.92,40,5,35,40,5,35
43,201920,201922,INPROGRESS - En progreso,4.84,3.38,60,50,10,100,55,45
43,201920,202020,INPROGRESS - En progreso,5.89,4.22,20,20,0,120,75,45
43,201920,202022,INPROGRESS - En progreso,2.43,3.77,15,0,15,135,75,60
43,201920,202120,INPROGRESS - En progreso,5.71,4.16,55,50,5,190,125,65
44,201920,201920,INPROGRESS - En progreso,2.63,2.63,60,10,50,60,10,50
44,201920,201922,INPROGRESS - En progreso,2.14,2.38,30,5,25,90,15,75
44,201920,202020,INPROGRESS - En progreso,6.71,3.83,50,50,0,140,65,75
44,201920,202022,INPROGRESS - En progreso,6.27,4.44,10,10,0,150,75,75
44,201920,202120,INPROGRESS - En progreso,2.63,4.08,40,0,40,190,75,115
45,201920,201920,INPROGRESS - En progreso,1.61,1.61,50,5,45,50,5,45
45,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,1.61,0,0,0,50,5,45
45,201920,202020,INPROGRESS - En progreso,4.3,2.96,60,60,0,110,65,45
45,201920,202022,INPROGRESS - En progreso,3.87,3.26,25,0,25,135,65,70
45,201920,202120,INPROGRESS - En progreso,5.47,3.81,15,15,0,150,80,70
46,201920,201920,INPROGRESS - En progreso,5.86,5.86,55,50,5,55,50,5
46,201920,201922,INPROGRESS - En progreso,3.67,4.77,65,5,60,120,55,65
46,201920,202020,INPROGRESS - En progreso,3.21,4.25,60,10,50,180,65,115
46,201920,202022,INPROGRESS - En progreso,2.95,3.92,50,10,40,230,75,155
46,201920,202120,INPROGRESS - En progreso,3.57,3.85,35,5,30,265,80,185
47,201920,201920,INPROGRESS - En progreso,6.25,6.25,15,15,0,15,15,0
47,201920,201922,INPROGRESS - En progreso,4.39,5.32,45,40,5,60,55,5
47,201920,202020,INPROGRESS - En progreso,2.79,4.48,10,0,10,70,55,15
47,201920,202022,INPROGRESS - En progreso,6.46,4.97,55,35,20,125,90,35
47,201920,202120,INPROGRESS - En progreso,3.97,4.77,65,5,60,190,95,95
48,201920,201920,INPROGRESS - En progreso,2.31,2.31,60,10,50,60,10,50
48,201920,201922,INPROGRESS - En progreso,6.44,4.38,35,30,5,95,40,55
48,201920,202020,INPROGRESS - En progreso,4.57,4.44,60,60,0,155,100,55
48,201920,202022,INPROGRESS - En progreso,4.18,4.38,30,25,5,185,125,60
48,201920,202120,INPROGRESS - En progreso,3.4,4.18,65,10,55,250,135,115
50,201920,201920,INPROGRESS - En progreso,4.38,4.38,20,15,5,20,15,5
50,201920,201922,INPROGRESS - En progreso,6.29,5.33,30,30,0,50,45,5
50,201920,202020,INPROGRESS - En progreso,4.09,4.92,50,35,15,100,80,20
50,201920,202022,INPROGRESS - En progreso,6.8,5.39,60,55,5,160,135,25
50,201920,202120,INPROGRESS - En progreso,1.38,4.59,50,5,45,210,140,70
51,201920,201920,INPROGRESS - En progreso,1.71,1.71,15,0,15,15,0,15
51,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,1.71,0,0,0,15,0,15
51,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,1.71,0,0,0,15,0,15
51,201920,202022,INPROGRESS - En progreso,1.16,1.44,60,0,60,75,0,75
51,201920,202120,INPROGRESS - En progreso,2.47,1.78,25,0,25,100,0,100
53,201920,201920,INPROGRESS - En progreso,5.03,5.03,45,35,10,45,35,10
53,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,5.03,0,0,0,45,35,10
53,201920,202020,INPROGRESS - En progreso,3.46,4.25,60,5,55,105,40,65
53,201920,202022,INPROGRESS - En progreso,5.84,4.78,15,15,0,120,55,65
53,201920,202120,INPROGRESS - En progreso,4.84,4.79,50,40,10,170,95,75
54,201920,201920,INPROGRESS - En progreso,5.81,5.81,40,40,0,40,40,0
54,201920,201922,INPROGRESS - En progreso,2.47,4.14,20,5,15,60,45,15
54,201920,202020,INPROGRESS - En progreso,5.1,4.46,35,25,10,95,70,25
54,201920,202022,INPROGRESS - En progreso,4.17,4.39,30,30,0,125,100,25
54,201920,202120,INPROGRESS - En progreso,3.83,4.28,65,0,65,190,100,90
57,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
57,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
57,201920,202020,INPROGRESS - En progreso,3.4,3.4,25,5,20,25,5,20
57,201920,202022,INPROGRESS - En progreso,6.86,5.13,50,45,5,75,50,25
57,201920,202120,INPROGRESS - En progreso,4.95,5.07,25,25,0,100,75,25
60,201920,201920,INPROGRESS - En progreso,2.12,2.12,50,5,45,50,5,45
60,201920,201922,INPROGRESS - En progreso,1.95,2.04,30,0,30,80,5,75
60,201920,202020,INPROGRESS - En progreso,1.46,1.84,30,5,25,110,10,100
60,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,1.84,0,0,0,110,10,100
60,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,1.84,0,0,0,110,10,100
61,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
61,201920,201922,INPROGRESS - En progreso,1.63,1.63,40,5,35,40,5,35
61,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,1.63,0,0,0,40,5,35
61,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,1.63,0,0,0,40,5,35
61,201920,202120,INPROGRESS - En progreso,6.18,3.9,65,60,5,105,65,40
62,201920,201920,INPROGRESS - En progreso,2.33,2.33,15,0,15,15,0,15
62,201920,201922,INPROGRESS - En progreso,6.14,4.23,65,45,20,80,45,35
62,201920,202020,INPROGRESS - En progreso,1.91,3.46,60,5,55,140,50,90
62,201920,202022,INPROGRESS - En progreso,5.5,3.97,35,30,5,175,80,95
62,201920,202120,INPROGRESS - En progreso,5.0,4.18,30,20,10,205,100,105
63,201920,201920,INPROGRESS - En progreso,3.09,3.09,35,0,35,35,0,35
63,201920,201922,INPROGRESS - En progreso,4.38,3.73,65,55,10,100,55,45
63,201920,202020,INPROGRESS - En progreso,5.96,4.48,15,10,5,115,65,50
63,201920,202022,INPROGRESS - En progreso,1.57,3.75,60,10,50,175,75,100
63,201920,202120,INPROGRESS - En progreso,2.08,3.42,40,0,40,215,75,140
64,201920,201920,INPROGRESS - En progreso,4.56,4.56,15,10,5,15,10,5
64,201920,201922,INPROGRESS - En progreso,1.94,3.25,15,0,15,30,10,20
64,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,3.25,0,0,0,30,10,20
64,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.25,0,0,0,30,10,20
64,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.25,0,0,0,30,10,20
65,201920,201920,INPROGRESS - En progreso,1.83,1.83,25,5,20,25,5,20
65,201920,201922,INPROGRESS - En progreso,3.9,2.87,40,5,35,65,10,55
65,201920,202020,INPROGRESS - En progreso,4.68,3.47,35,35,0,100,45,55
65,201920,202022,INPROGRESS - En progreso,4.96,3.84,55,45,10,155,90,65
65,201920,202120,INPROGRESS - En progreso,2.99,3.67,35,0,35,190,90,100
66,201920,201920,INPROGRESS - En progreso,1.64,1.64,40,0,40,40,0,40
66,201920,201922,INPROGRESS - En progreso,5.73,3.69,15,15,0,55,15,40
66,201920,202020,INPROGRESS - En progreso,2.52,3.3,50,10,40,105,25,80
66,201920,202022,INPROGRESS - En progreso,2.4,3.07,55,5,50,160,30,130
66,201920,202120,INPROGRESS - En progreso,4.44,3.35,25,25,0,185,55,130
67,201920,201920,INPROGRESS - En progreso,3.45,3.45,65,10,55,65,10,55
67,201920,201922,INPROGRESS - En progreso,4.4,3.93,10,10,0,75,20,55
67,201920,202020,INPROGRESS - En progreso,5.66,4.5,20,15,5,95,35,60
67,201920,202022,INPROGRESS - En progreso,3.5,4.25,35,0,35,130,35,95
67,201920,202120,INPROGRESS - En progreso,2.6,3.92,15,0,15,145,35,110
68,201920,201920,INPROGRESS - En progreso,2.2,2.2,55,5,50,55,5,50
68,201920,201922,INPROGRESS - En progreso,1.38,1.79,30,0,30,85,5,80
68,201920,202020,INPROGRESS - En progreso,4.61,2.73,15,15,0,100,20,80
68,201920,202022,INPROGRESS - En progreso,2.73,2.73,35,0,35,135,20,115
68,201920,202120,INPROGRESS - En progreso,3.18,2.82,20,0,20,155,20,135
69,201920,201920,INPROGRESS - En progreso,5.87,5.87,45,30,15,45,30,15
69,201920,201922,INPROGRESS - En progreso,5.7,5.79,60,40,20,105,70,35
69,201920,202020,INPROGRESS - En progreso,4.69,5.42,60,55,5,165,125,40
69,201920,202022,INPROGRESS - En progreso,1.95,4.55,40,5,35,205,130,75
69,201920,202120,INPROGRESS - En progreso,4.17,4.48,15,15,0,220,145,75
71,201920,201920,INPROGRESS - En progreso,2.44,2.44,55,10,45,55,10,45
71,201920,201922,INPROGRESS - En progreso,5.55,4.0,30,25,5,85,35,50
71,201920,202020,INPROGRESS - En progreso,6.03,4.67,65,50,15,150,85,65
71,201920,202022,INPROGRESS - En progreso,1.7,3.93,15,5,10,165,90,75
71,201920,202120,INPROGRESS - En progreso,2.98,3.74,50,5,45,215,95,120
73,201920,201920,INPROGRESS - En progreso,2.84,2.84,40,10,30,40,10,30
73,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.84,0,0,0,40,10,30
73,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.84,0,0,0,40,10,30
73,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,2.84,0,0,0,40,10,30
73,201920,202120,INPROGRESS - En progreso,2.33,2.58,65,5,60,105,15,90
74,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
74,201920,201922,INPROGRESS - En progreso,1.59,1.59,20,0,20,20,0,20
74,201920,202020,INPROGRESS - En progreso,4.46,3.02,45,30,15,65,30,35
74,201920,202022,INPROGRESS - En progreso,5.37,3.81,10,10,0,75,40,35
74,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.81,0,0,0,75,40,35
75,201920,201920,INPROGRESS - En progreso,6.37,6.37,50,40,10,50,40,10
75,201920,201922,INPROGRESS - En progreso,5.15,5.76,25,15,10,75,55,20
75,201920,202020,INPROGRESS - En progreso,3.73,5.08,35,0,35,110,55,55
75,201920,202022,INPROGRESS - En progreso,1.86,4.28,45,10,35,155,65,90
75,201920,202120,INPROGRESS - En progreso,2.77,3.98,65,10,55,220,75,145
78,201920,201920,INPROGRESS - En progreso,6.22,6.22,65,60,5,65,60,5
78,201920,201922,INPROGRESS - En progreso,5.18,5.7,45,35,10,110,95,15
78,201920,202020,INPROGRESS - En progreso,2.34,4.58,30,0,30,140,95,45
78,201920,202022,INPROGRESS - En progreso,2.61,4.09,65,5,60,205,100,105
78,201920,202120,INPROGRESS - En progreso,5.74,4.42,35,35,0,240,135,105
79,201920,201920,INPROGRESS - En progreso,6.31,6.31,55,45,10,55,45,10
79,201920,201922,INPROGRESS - En progreso,6.37,6.34,20,20,0,75,65,10
79,201920,202020,INPROGRESS - En progreso,1.8,4.83,60,0,60,135,65,70
79,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.83,0,0,0,135,65,70
79,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.83,0,0,0,135,65,70
80,201920,201920,INPROGRESS - En progreso,1.44,1.44,10,0,10,10,0,10
80,201920,201922,INPROGRESS - En progreso,2.71,2.08,30,5,25,40,5,35
80,201920,202020,INPROGRESS - En progreso,1.52,1.89,30,5,25,70,10,60
80,201920,202022,INPROGRESS - En progreso,2.48,2.04,30,5,25,100,15,85
80,201920,202120,INPROGRESS - En progreso,2.12,2.05,20,5,15,120,20,100
81,201920,201920,INPROGRESS - En progreso,4.73,4.73,55,45,10,55,45,10
81,201920,201922,INPROGRESS - En progreso,1.36,3.05,15,0,15,70,45,25
81,201920,202020,INPROGRESS - En progreso,2.92,3.0,45,5,40,115,50,65
81,201920,202022,INPROGRESS - En progreso,2.75,2.94,60,10,50,175,60,115
81,201920,202120,INPROGRESS - En progreso,5.47,3.45,50,35,15,225,95,130
82,201920,201920,INPROGRESS - En progreso,1.67,1.67,40,0,40,40,0,40
82,201920,201922,INPROGRESS - En progreso,4.29,2.98,30,30,0,70,30,40
82,201920,202020,INPROGRESS - En progreso,2.56,2.84,50,0,50,120,30,90
82,201920,202022,INPROGRESS - En progreso,4.62,3.29,30,20,10,150,50,100
82,201920,202120,INPROGRESS - En progreso,6.82,3.99,10,10,0,160,60,100
83,201920,201920,INPROGRESS - En progreso,2.95,2.95,55,0,55,55,0,55
83,201920,201922,INPROGRESS - En progreso,5.84,4.39,50,40,10,105,40,65
83,201920,202020,INPROGRESS - En progreso,6.14,4.98,10,5,5,115,45,70
83,201920,202022,INPROGRESS - En progreso,4.41,4.83,50,45,5,165,90,75
83,201920,202120,INPROGRESS - En progreso,4.74,4.82,10,10,0,175,100,75
84,201920,201920,INPROGRESS - En progreso,5.17,5.17,55,50,5,55,50,5
84,201920,201922,INPROGRESS - En progreso,5.59,5.38,45,30,15,100,80,20
84,201920,202020,INPROGRESS - En progreso,2.03,4.26,30,0,30,130,80,50
84,201920,202022,INPROGRESS - En progreso,5.14,4.48,55,50,5,185,130,55
84,201920,202120,INPROGRESS - En progreso,2.89,4.16,45,5,40,230,135,95
85,201920,201920,INPROGRESS - En progreso,5.22,5.22,10,5,5,10,5,5
85,201920,201922,INPROGRESS - En progreso,6.92,6.07,20,20,0,30,25,5
