RUT,PERIODO,MATERIA,CURSO,CALIF
8,201920,DER,270,4.6
8,201920,DEF,307,1.1
8,201920,DEP,274,1.7
8,201920,DEL,269,4.7
8,201922,DERC,606,2.5
8,201922,DEM,270,3.2
8,201922,DERC,614,5.1
8,201922,DERF,002,4.1
8,201922,DEF,348,6.4
8,201922,DMD,3130,6.6
8,201922,DEG,024,6.4
8,202020,DES,255,3.4
8,202020,DERC,504,2.2
8,202020,DEL,317,5.8
8,202020,DED,252,6.5
8,202020,DEF,282,3.3
8,202022,DMD,3508,6.5
8,202022,DEL,308,1.8
8,202022,DEG,021,3.1
8,202120,DER,254,5.3
8,202120,DERL,901,5.9
8,202120,DERC,008,3.7
9,201920,DERL,804,6.6
9,201920,DERC,508,3.3
9,201920,DERP,507,4.0
9,201920,DERR,901,5.3
9,201920,DEP,299,3.7
9,201922,DEF,334,6.0
9,201922,DERL,805,6.2
9,202020,DEM,273,5.1
9,202020,DERH,303,4.4
9,202020,DER,270,4.9
9,202020,DEL,313,1.1
9,202022,DERG,506,3.4
9,202022,DERF,003,1.1
9,202022,DEF,319,2.4
9,202022,DERC,006,5.8
9,202022,DERC,622,1.7
9,202022,DERL,004,4.8
9,202022,DERL,611,4.8
9,202120,DERL,701,6.8
9,202120,DEF,351,2.2
9,202120,DEP,281,2.5
9,202120,DMD,3152,1.1
9,202120,DERG,601,4.2
9,202120,DEC,248,2.1
9,202120,DEI,248,5.7
10,201920,DERR,509,5.2
10,201920,DERP,507,4.0
10,201920,DMD,3935,2.0
10,201920,DEC,275,6.4
10,201920,DEL,266,3.5
10,201920,DEF,346,3.3
10,201922,DERC,601,3.7
10,201922,DERH,305,6.3
10,201922,DEC,244,3.3
10,201922,DERC,506,4.9
10,202020,DEE,220,5.8
10,202020,DERH,204,3.8
10,202020,DERF,516,6.9
10,202022,DERC,002,5.3
10,202022,DEG,004,6.5
10,202120,DERR,003,2.3
10,202120,DERH,406,6.9
10,202120,DER,270,4.2
11,201920,DERR,506,2.6
11,201920,DERE,103,6.1
11,201920,DERC,502,4.0
11,201920,DES,260,3.6
11,201920,DMD,3416,3.5
11,201922,DERL,804,3.9
11,201922,DEC,247,2.3
11,201922,DEL,309,3.6
11,202020,DEZ,255,2.0
11,202020,DERH,203,5.1
11,202020,DERR,005,3.8
11,202020,DERC,509,6.4
11,202020,DERL,505,6.0
11,202022,DERG,603,3.6
11,202022,DERN,502,4.5
11,202022,DERG,603,1.5
11,202022,DERP,508,3.6
11,202022,DERL,702,2.7
11,202022,DMD,3538,4.4
11,202022,DERC,012,4.1
12,201920,DERL,702,2.5
12,201920,DMD,3541,3.3
12,201920,DERP,504,2.2
12,201922,DERC,006,6.8
12,201922,DES,265,2.6
12,202020,DEG,021,2.2
12,202020,DET,026,1.7
12,202020,DER,250,4.6
12,202020,DEC,247,4.2
12,202020,DEZ,256,4.1
12,202022,DERR,504,4.3
12,202022,DEL,313,1.7
12,202022,DERL,006,5.1
12,202022,DEF,350,6.6
12,202022,DERL,504,3.5
12,202120,DERC,617,2.6
12,202120,DER,244,4.0
12,202120,DERL,604,3.6
12,202120,DEP,281,4.1
12,202120,DERL,004,2.1
12,202120,DEI,243,1.2
12,202120,DEL,277,1.8
13,201920,DEP,276,6.9
13,201920,DEC,248,2.2
13,202020,DERP,901,1.1
13,202020,DERS,506,2.9
13,202020,DERC,604,2.5
13,202020,DEG,024,1.6
13,202022,DMD,3126,4.5
13,202022,DMD,3523,4.7
13,202022,DERE,103,2.2
13,202022,DEC,246,6.3
13,202022,DER,252,3.3
13,202022,DERC,508,6.0
13,202022,DMD,3151,2.0
13,202120,DERF,513,6.2
13,202120,DERR,507,4.8
13,202120,DEC,246,2.3
13,202120,DERR,510,4.7
13,202120,DERG,506,2.4
13,202120,DMD,3607,4.8
14,201920,DERH,401,6.4
14,201920,DERR,901,4.6
14,201920,DERF,009,2.3
14,201920,DERF,009,6.3
14,201920,DERR,004,6.3
14,201920,DERP,003,5.4
14,201920,DEC,265,3.3
14,201922,DET,029,6.0
14,201922,DERP,502,4.3
14,201922,DEL,280,1.8
14,201922,DERC,617,4.8
14,201922,DEM,271,1.6
14,201922,DERC,506,5.1
14,201922,DERC,612,1.7
14,202020,DEP,294,4.8
14,202020,DERH,204,4.0
14,202020,DMD,3140,6.0
14,202020,DEF,313,3.9
14,202020,DEI,245,1.2
14,202022,DMD,3524,4.7
14,202022,DERC,506,3.9
14,202022,DERF,003,2.1
14,202120,DERF,513,2.0
14,202120,DERC,605,6.9
14,202120,DMD,3117,1.6
14,202120,DEL,311,1.8
14,202120,DERC,616,3.8
15,201920,DMD,3936,1.6
15,201920,DERF,509,3.8
15,201920,DERL,807,3.1
15,201922,DEL,308,4.6
15,201922,DER,251,4.8
15,201922,DER,254,6.1
15,201922,DEP,280,3.4
15,201922,DERC,612,5.4
15,202020,DERG,507,6.5
15,202020,DERG,509,2.0
15,202020,DER,255,5.8
15,202020,DERP,509,6.4
15,202020,DEL,280,6.3
15,202022,DERC,622,6.6
15,202022,DERC,506,4.6
15,202022,DEP,294,4.5
15,202120,DERC,608,5.8
15,202120,DEC,265,2.7
15,202120,DERP,001,5.5
15,202120,DEP,276,2.0
16,202120,DERG,507,1.8
16,202120,DEM,280,6.3
16,202120,DMD,3141,3.2
16,202120,DERS,602,5.6
16,202120,DERG,507,2.2
17,201920,DERH,100,1.4
17,201920,DERC,608,2.8
17,201920,DEM,297,1.1
17,201920,DERC,503,6.9
17,201920,DEP,299,1.3
17,201920,DEI,248,6.7
17,201920,DERH,207,2.8
17,202020,DERR,503,5.0
17,202020,DERC,506,2.1
17,202020,DEL,265,3.3
17,202020,DEG,021,4.9
17,202020,DMD,3536,1.7
17,202020,DERS,505,6.9
17,202020,DER,252,1.7
18,201920,DERL,004,5.4
18,201920,DERF,510,3.7
18,201920,DEP,294,1.3
18,201920,DERF,006,4.9
18,201922,DEM,270,1.6
18,201922,DERC,504,2.7
18,201922,DERC,608,4.3
18,202020,DEF,341,3.5
18,202020,DERP,507,4.4
18,202020,DEM,297,4.8
18,202020,DERG,511,1.5
18,202022,DERL,806,5.0
18,202022,DEP,297,3.3
18,202022,DERC,007,3.3
18,202022,DEF,335,6.1
18,202022,DERR,510,4.7
18,202022,DEC,268,3.6
18,202022,DERL,601,3.5
19,201920,DERC,619,3.4
19,201920,DERL,503,3.2
19,201920,DERL,803,3.9
19,201920,DEL,316,4.4
19,201920,DERS,506,5.0
19,201920,DMD,3608,2.8
19,201920,DEC,266,5.6
19,201922,DEG,020,1.3
19,201922,DERC,605,3.5
19,201922,DEF,351,3.3
19,201922,DERR,901,5.5
19,201922,DEM,291,4.5
19,201922,DMD,3432,6.7
19,201922,DEE,211,5.8
19,202020,DEI,239,3.6
19,202020,DERL,502,2.5
19,202022,DED,252,2.5
19,202022,DMD,3501,1.6
19,202022,DMD,3432,6.5
19,202022,DERC,614,6.9
19,202022,DERF,503,4.6
19,202022,DERC,003,1.3
20,201920,DMD,3430,3.7
20,201920,DERF,513,6.2
20,201920,DERC,503,4.2
20,201922,DERR,003,3.2
20,201922,DERR,005,5.0
20,201922,DERS,502,4.6
20,201922,DMD,3620,4.5
20,201922,DERH,206,3.2
20,201922,DMD,3504,4.2
20,201922,DERN,001,6.7
20,202020,DMD,3005,1.8
20,202020,DEF,307,1.7
20,202020,DER,270,5.7
20,202020,DEP,299,6.1
20,202020,DERL,804,2.6
20,202020,DEF,351,5.4
20,202020,DEP,274,4.6
20,202022,DEC,272,2.7
20,202022,DEI,238,2.1
20,202022,DERL,802,4.0
20,202022,DERC,618,6.5
20,202022,DMD,3419,1.2
20,202022,DEL,311,1.1
20,202022,DEC,265,3.6
20,202120,DEP,299,1.2
20,202120,DERP,508,4.2
20,202120,DEE,211,5.5
20,202120,DMD,3143,2.0
20,202120,DEF,327,4.8
21,201920,DEP,309,3.9
21,201920,DERC,604,2.3
21,201920,DERH,204,4.0
21,201920,DERR,004,6.0
21,201920,DEF,334,5.8
21,201920,DEG,017,5.9
21,201920,DEP,299,6.0
21,202020,DMD,3923,2.3
21,202020,DERF,508,5.5
21,202020,DERH,406,5.9
21,202020,DERL,701,1.9
21,202020,DERL,806,3.0
21,202022,DMD,3401,5.6
21,202022,DERH,100,3.6
21,202022,DERL,602,4.5
21,202022,DERP,512,6.3
21,202022,DEF,311,4.3
22,201920,DERS,602,4.4
22,201920,DERC,606,5.9
22,201920,DES,258,2.8
22,201922,DEP,275,1.1
22,201922,DER,270,2.3
22,201922,DERC,613,4.6
22,201922,DMD,3141,2.8
22,202020,DMD,3421,5.6
22,202020,DES,255,2.7
22,202020,DERC,614,2.3
22,202022,DMD,3922,5.4
22,202022,DERN,501,6.4
22,202022,DERP,509,5.3
22,202022,DERC,506,4.6
22,202022,DMD,3140,6.5
22,202120,DERL,509,4.2
22,202120,DEC,260,3.7
22,202120,DERP,508,3.4
22,202120,DMD,3538,6.4
22,202120,DERL,802,1.5
22,202120,DERN,501,1.1
23,201920,DMD,3143,3.4
23,201920,DERS,501,5.8
23,201920,DMD,3539,4.4
23,201920,DERH,406,4.2
23,201920,DERL,605,4.4
23,201920,DEL,304,1.5
23,201920,DEM,292,6.3
23,201922,DERH,403,5.9
23,201922,DERP,508,4.1
23,201922,DMD,3102,2.0
23,201922,DEE,219,6.8
23,201922,DERF,516,6.1
23,201922,DERC,507,1.4
23,201922,DMD,3402,2.8
23,202020,DMD,3402,1.5
23,202020,DEE,212,2.6
23,202020,DERS,001,6.4
23,202020,DEF,314,1.2
23,202020,DERC,618,1.9
23,202020,DMD,3511,5.9
23,202022,DERC,507,2.5
23,202022,DERP,511,3.9
23,202022,DMD,3501,3.0
23,202022,DERS,503,3.4
23,202022,DERP,513,5.8
23,202022,DERG,602,5.0
23,202120,DERN,502,3.9
23,202120,DEF,346,1.4
23,202120,DEI,243,6.5
23,202120,DERG,503,5.5
23,202120,DERH,207,3.1
23,202120,DEC,243,5.8
23,202120,DEL,267,6.3
24,201920,DERR,510,4.8
24,201920,DES,265,3.2
24,201920,DEM,270,5.8
24,201922,DERP,502,6.5
24,201922,DERC,011,2.5
24,201922,DERH,202,6.9
24,201922,DES,266,5.1
24,201922,DERR,506,2.2
24,202020,DERF,508,4.2
24,202020,DERL,804,6.8
24,202022,DEE,214,3.8
24,202022,DMD,3126,1.7
24,202120,DMD,3535,1.9
24,202120,DER,269,6.5
24,202120,DEF,348,3.8
24,202120,DEG,020,3.9
24,202120,DEC,248,2.9
24,202120,DERF,004,2.1
24,202120,DERH,301,4.5
25,201922,DERG,504,5.3
25,201922,DERF,512,4.1
25,201922,DEP,288,2.1
25,201922,DERH,303,3.4
25,201922,DMD,3935,6.6
25,201922,DERH,305,4.3
25,202020,DMD,3416,3.9
25,202020,DEL,277,3.9
25,202020,DERC,617,6.5
25,202020,DERH,204,5.0
25,202020,DMD,3506,6.7
25,202022,DERC,615,6.2
25,202022,DER,268,1.3
25,202022,DERR,004,5.8
25,202022,DERH,306,6.9
25,202022,DERC,509,5.6
26,201920,DEC,268,4.9
26,201920,DEM,275,6.4
26,201922,DERG,601,6.4
26,201922,DERC,601,5.8
26,202020,DMD,3152,3.5
26,202020,DERC,605,3.5
26,202020,DMD,3506,2.9
26,202020,DEC,265,6.4
26,202020,DERC,509,1.8
26,202020,DMD,3607,7.0
26,202020,DEF,319,4.1
26,202022,DEE,213,1.9
26,202022,DER,266,2.1
26,202022,DERF,513,5.9
26,202022,DERL,007,5.9
26,202022,DEC,242,3.1
26,202120,DERL,506,5.3
26,202120,DERL,002,6.3
26,202120,DMD,3141,3.8
26,202120,DEI,246,4.5
26,202120,DEP,306,2.8
26,202120,DERF,007,3.5
27,201922,DMD,3419,1.5
27,201922,DERL,510,2.3
27,201922,DMD,3102,3.5
27,201922,DERL,601,1.9
27,201922,DERL,503,2.9
27,202020,DERG,507,1.5
27,202020,DEC,260,7.0
27,202020,DERH,207,5.3
27,202020,DERC,612,1.4
27,202020,DERR,005,1.6
27,202020,DERL,808,5.1
27,202020,DMD,3608,6.8
27,202022,DERC,009,4.9
27,202022,DER,251,6.2
27,202022,DERG,510,5.3
27,202022,DEM,275,2.8
27,202022,DERC,003,3.7
27,202022,DEM,270,6.1
28,201920,DMD,3527,2.2
28,201920,DMD,3151,1.9
28,201920,DERH,405,3.3
28,201920,DERR,509,5.5
28,201920,DERP,513,5.5
28,201920,DMD,3138,5.0
28,201920,DERF,510,2.1
28,201922,DES,266,5.4
28,201922,DEM,280,2.9
28,201922,DERL,804,4.4
28,201922,DMD,3432,4.8
28,201922,DET,028,6.0
28,202020,DERL,006,1.6
28,202020,DEP,307,1.6
28,202020,DMD,3143,4.8
28,202022,DER,269,2.1
28,202022,DERR,504,1.2
28,202022,DES,258,4.6
28,202120,DERC,001,1.6
28,202120,DER,253,1.9
28,202120,DERR,003,3.6
28,202120,DER,266,1.4
28,202120,DEF,352,6.6
29,201920,DERR,005,4.9
29,201920,DMD,3531,1.9
29,201920,DEP,295,3.3
29,201920,DEM,294,6.5
29,201920,DEP,307,1.1
29,201920,DERR,504,4.7
29,201920,DERF,504,6.9
29,201922,DERF,503,5.0
29,201922,DEF,330,4.2
29,202020,DEL,277,3.0
29,202020,DERH,204,2.8
29,202020,DERL,510,1.6
29,202020,DEP,303,2.2
29,202020,DERG,602,5.7
29,202022,DERR,001,4.7
29,202022,DERC,007,2.5
29,202022,DERC,610,6.4
29,202022,DMD,3401,2.4
29,202022,DMD,3154,4.0
29,202120,DERC,006,4.4
29,202120,DERF,004,6.9
29,202120,DERC,509,7.0
29,202120,DERG,604,6.0
29,202120,DERF,006,4.4
30,201920,DEM,272,4.8
30,201920,DERF,004,5.7
30,201920,DERG,506,2.5
30,201920,DERC,609,3.5
30,201920,DERG,602,3.0
30,201920,DERC,612,2.6
30,201920,DERR,003,3.7
30,201922,DMD,3538,1.8
30,201922,DERC,506,4.3
30,201922,DERH,205,1.4
31,201920,DEL,306,2.0
31,201920,DMD,3511,7.0
31,201920,DERH,203,4.6
31,201920,DERC,009,6.6
31,201920,DEC,243,2.7
31,201920,DERC,611,2.4
31,201920,DER,259,3.2
31,201922,DERC,012,2.1
31,201922,DMD,3401,5.9
31,201922,DEM,292,1.2
31,201922,DEP,280,5.7
31,201922,DMD,3130,1.8
31,201922,DMD,3935,5.0
31,201922,DES,264,6.4
32,201920,DERL,506,4.6
32,201920,DMD,3808,1.1
32,201920,DERF,008,3.5
32,201920,DER,253,1.9
32,201920,DERH,306,1.7
32,201922,DERG,507,2.0
32,201922,DERP,507,1.8
32,201922,DERF,514,4.4
32,201922,DERG,602,1.3
32,201922,DMD,3604,1.2
32,201922,DMD,3541,5.7
32,201922,DERC,617,6.8
32,202020,DERG,504,1.6
32,202020,DEF,344,3.5
32,202020,DEP,299,6.5
32,202020,DERC,620,5.5
32,202020,DEF,347,2.7
32,202022,DES,258,6.0
32,202022,DEP,295,3.5
32,202022,DET,029,1.7
33,201920,DERC,003,6.4
33,201920,DERC,619,3.0
33,201920,DERP,507,3.6
33,201920,DEI,245,2.9
33,201920,DEE,213,2.8
33,201922,DMD,3151,6.4
33,201922,DMD,3126,3.3
33,201922,DERR,506,5.5
33,202020,DEC,260,6.3
33,202020,DEF,345,2.5
33,202020,DET,028,2.5
33,202020,DEM,296,6.8
33,202120,DEP,281,5.2
33,202120,DERC,619,6.5
33,202120,DMD,3402,2.8
33,202120,DERS,505,6.6
33,202120,DEF,345,7.0
34,201920,DMD,3126,6.8
34,201920,DEM,293,3.2
34,201920,DMD,3402,3.5
34,201920,DERC,012,2.3
34,201920,DMD,3608,3.5
34,201920,DERC,009,6.4
34,201920,DERC,002,4.1
34,201922,DERC,005,1.7
34,201922,DERC,610,4.5
34,201922,DEM,292,1.0
34,201922,DERF,514,5.4
34,201922,DEI,245,2.9
34,202020,DEL,309,3.6
34,202020,DERC,601,5.9
34,202020,DEM,296,1.8
34,202020,DEP,302,4.5
34,202020,DEP,297,2.8
34,202120,DEM,292,6.4
34,202120,DEP,283,2.9
34,202120,DERC,614,6.6
34,202120,DEP,275,3.8
34,202120,DEC,264,2.2
34,202120,DEP,302,6.4
34,202120,DERF,006,2.9
35,201920,DERC,604,6.4
35,201920,DEC,250,2.0
35,201920,DEP,274,7.0
35,201920,DERF,002,4.2
35,201920,DEF,327,2.1
35,201920,DEM,291,4.9
35,201920,DEC,260,5.4
35,201922,DERC,501,6.8
35,201922,DERL,804,6.2
35,201922,DMD,3152,6.3
35,201922,DERH,203,5.2
35,201922,DEP,276,3.7
35,201922,DEF,311,2.0
35,201922,DEP,283,1.7
36,202022,DEP,295,2.2
36,202022,DEP,280,5.3
36,202022,DMD,3121,5.0
36,202022,DEI,248,3.2
36,202022,DERC,613,4.1
36,202120,DERP,001,4.5
36,202120,DERH,304,6.9
36,202120,DEP,280,5.0
37,201920,DERL,901,1.8
37,201920,DERH,207,1.5
37,201920,DEL,265,3.6
37,201920,DERL,809,1.4
37,201920,DEP,297,1.0
37,201920,DEP,305,2.7
37,201922,DERC,504,3.5
37,201922,DERC,506,1.5
37,202020,DERS,506,6.9
37,202020,DERF,003,2.5
37,202020,DERL,805,5.4
37,202020,DEC,247,2.1
37,202020,DERC,902,6.9
37,202022,DEZ,255,4.7
37,202022,DEF,347,4.5
37,202022,DEC,243,6.6
37,202022,DEG,024,1.4
37,202022,DEL,309,4.3
37,202022,DERG,511,6.5
38,201920,DERR,506,4.9
38,201920,DMD,3927,1.2
38,201920,DERP,503,4.0
38,201922,DEC,272,5.1
38,201922,DERP,507,5.5
38,201922,DEG,023,2.0
38,202020,DEL,269,5.6
38,202020,DERC,008,4.6
38,202020,DEF,327,5.0
38,202020,DMD,3401,5.6
38,202020,DMD,3144,5.7
38,202020,DEF,327,2.6
38,202022,DMD,3102,2.3
38,202022,DES,243,4.6
38,202022,DEL,277,1.2
38,202022,DERL,806,6.8
38,202022,DED,254,4.4
38,202120,DEP,280,3.0
38,202120,DEF,330,1.1
38,202120,DEG,021,5.8
38,202120,DEE,220,3.7
40,201920,DEC,274,6.1
40,201920,DEP,296,1.4
40,201920,DER,269,4.4
40,201920,DMD,3102,4.5
40,201920,DEF,346,2.4
40,201920,DERC,011,1.3
40,201920,DERF,508,1.3
40,201922,DERC,501,5.9
40,201922,DMD,3539,4.2
40,201922,DEL,306,5.6
40,201922,DEG,024,1.5
40,201922,DMD,3523,2.0
40,201922,DERL,501,2.5
40,201922,DEG,021,5.1
40,202020,DERL,806,5.7
40,202020,DEL,311,2.9
40,202020,DERL,603,3.2
40,202020,DERR,503,5.2
40,202020,DEM,273,1.8
40,202020,DED,252,5.6
40,202020,DERR,004,1.9
40,202022,DERS,502,4.1
40,202022,DER,254,1.0
41,201920,DERS,601,6.3
41,201920,DERC,006,1.5
41,201920,DMD,3138,2.8
41,201922,DERF,508,6.6
41,201922,DEZ,255,5.1
41,201922,DERE,103,5.6
41,202120,DMD,3005,4.7
41,202120,DEE,219,2.5
41,202120,DMD,3524,6.1
42,201920,DERH,206,3.8
42,201920,DERP,901,3.2
42,201920,DERP,513,6.7
42,201922,DERP,504,2.3
42,201922,DERL,008,3.4
42,201922,DERN,503,7.0
43,201920,DES,264,3.1
43,201920,DMD,3141,6.5
43,201920,DERL,605,6.5
43,201920,DEL,304,3.8
43,201920,DERL,808,6.6
43,201922,DEF,282,3.3
43,201922,DMD,3927,1.3
43,201922,DERH,206,3.1
43,201922,DERH,100,5.8
43,201922,DERH,202,3.9
43,201922,DER,268,2.3
43,201922,DERL,603,5.6
43,202020,DERG,601,3.7
43,202020,DERH,305,5.1
43,202020,DERC,621,2.2
43,202022,DEG,013,3.5
43,202022,DEL,268,5.1
43,202022,DEI,250,6.7
43,202120,DET,027,1.1
43,202120,DERH,402,5.4
43,202120,DER,255,3.4
43,202120,DERN,503,5.3
43,202120,DEI,242,1.6
43,202120,DEC,268,1.9
43,202120,DEP,275,3.2
44,201920,DMD,3531,2.4
44,201920,DERC,004,1.1
44,201920,DERR,506,6.0
44,201920,DERC,601,1.5
44,201920,DEG,016,3.0
44,201920,DER,266,6.3
44,201920,DMD,3908,1.3
44,201922,DERL,808,4.6
44,201922,DERC,623,1.2
44,201922,DERC,902,4.1
44,201922,DERC,010,1.2
44,202020,DERL,503,3.5
44,202020,DER,261,4.3
44,202020,DERG,506,4.1
44,202020,DMD,3401,2.6
44,202020,DMD,3421,3.7
44,202020,DEP,303,1.9
44,202022,DERF,513,6.0
44,202022,DERR,507,5.3
44,202120,DERG,507,1.8
44,202120,DERC,509,6.2
44,202120,DEC,254,1.6
44,202120,DERL,602,3.1
44,202120,DERR,503,1.8
45,201920,DEI,245,5.5
45,201920,DERC,615,4.4
45,201920,DERE,104,6.9
45,201920,DET,025,5.0
45,201920,DEP,298,6.5
45,201920,DERR,503,4.3
45,202020,DERC,903,5.0
45,202020,DMD,3921,6.2
45,202020,DEF,327,5.7
45,202020,DEC,265,1.5
45,202020,DEF,352,1.7
45,202020,DERN,502,1.4
45,202020,DEG,013,6.6
45,202022,DERS,506,4.0
45,202022,DERH,303,2.3
45,202022,DERC,617,2.2
45,202120,DMD,3923,2.0
45,202120,DEM,293,5.3
45,202120,DERP,507,1.6
46,201920,DERH,204,6.4
46,201920,DERC,902,3.9
46,201920,DERF,510,5.2
46,201920,DES,263,2.9
46,201920,DER,252,6.4
46,201920,DERC,004,3.2
46,201920,DEL,309,6.5
46,201922,DEI,248,1.3
46,201922,DERL,601,6.1
46,201922,DERG,502,3.8
46,201922,DEL,307,6.3
46,201922,DEE,211,1.1
46,201922,DERH,401,2.9
46,201922,DEP,309,4.4
46,202020,DEC,274,5.9
46,202020,DERF,001,4.9
46,202020,DEG,013,4.7
46,202020,DEI,250,1.2
46,202020,DEG,010,6.7
46,202020,DER,266,1.5
46,202020,DEL,268,4.7
46,202022,DERG,503,4.7
46,202022,DEL,309,2.7
46,202022,DES,258,6.3
46,202022,DEG,016,6.8
46,202022,DERH,306,1.2
46,202022,DERG,506,5.1
46,202120,DEI,248,2.9
46,202120,DERC,612,3.8
46,202120,DEC,269,1.9
46,202120,DERF,005,2.6
46,202120,DEC,265,5.1
47,201920,DEF,327,4.1
47,201920,DMD,3102,6.9
47,201920,DEC,243,2.4
47,201922,DERN,502,6.1
47,201922,DMD,3936,4.3
47,201922,DEP,299,5.9
47,201922,DEP,295,6.8
47,201922,DERG,602,2.6
47,202020,DERS,001,6.3
47,202020,DERC,501,5.8
47,202022,DER,267,5.2
47,202022,DMD,3140,1.9
47,202022,DERF,005,5.9
47,202022,DERC,007,3.0
47,202022,DERG,603,3.9
47,202022,DEL,313,2.8
47,202022,DERP,510,2.7
47,202120,DEI,246,5.0
47,202120,DEG,024,2.4
47,202120,DERL,802,3.2
47,202120,DERG,604,2.1
47,202120,DERL,807,5.4
47,202120,DEL,309,6.9
47,202120,DERR,001,6.3
48,201920,DER,270,1.7
48,201920,DEC,273,4.1
48,201920,DMD,3934,3.9
48,201920,DERH,202,4.7
48,201920,DERC,508,6.2
48,201920,DEE,213,3.1
48,201920,DEM,296,4.0
48,201922,DMD,3141,3.4
48,201922,DMD,3144,4.8
48,201922,DERL,701,5.3
48,201922,DES,255,2.1
48,201922,DMD,3918,2.2
48,202020,DEL,313,6.0
48,202020,DERC,511,6.9
48,202020,DEG,004,5.2
48,202020,DEP,307,5.4
48,202020,DEI,242,5.8
48,202020,DERL,005,2.2
48,202020,DEP,307,5.0
48,202022,DERH,404,4.9
48,202022,DEC,266,3.8
48,202022,DMD,3141,6.6
48,202022,DERR,004,2.6
48,202120,DEL,316,3.5
48,202120,DERC,510,5.0
48,202120,DERH,306,6.6
48,202120,DERR,005,1.3
48,202120,DMD,3152,7.0
48,202120,DEM,273,2.2
48,202120,DERC,503,5.4
49,201920,DERC,004,3.4
49,201920,DEM,272,6.0
49,201922,DERC,615,2.0
49,201922,DEP,298,2.9
49,201922,DERN,503,2.7
49,202020,DERF,509,5.3
49,202020,DERC,505,5.6
49,202020,DERC,609,3.3
49,202020,DMD,3141,2.3
49,202020,DERH,403,5.8
49,202020,DERH,302,3.7
50,201920,DERL,003,4.3
