RUT,ESCUELA,TIPO ADMISIÓN,PUNTAJE NOTA ENSEÑANZA MEDIA,RANKING,PUNTAJE SELECCIÓN,PREFERENCIA,PUESTO
52,01 - Construcción Civil,60 - PSU,251,252,604,2,477
53,01 - Construcción Civil,60 - PSU,55,222,603,2,174
54,01 - Construcción Civil,60 - PSU,571,107,470,1,871
55,01 - Construcción Civil,60 - PSU,106,515,158,1,577
56,01 - Construcción Civil,60 - PSU,537,177,416,1,423
57,01 - Construcción Civil,60 - PSU,10,234,157,1,752
58,01 - Construcción Civil,60 - PSU,754,729,385,1,301
59,01 - Construcción Civil,60 - PSU,543,633,29,2,112
60,01 - Construcción Civil,60 - PSU,505,307,556,1,399
61,01 - Construcción Civil,60 - PSU,426,306,80,1,267
62,01 - Construcción Civil,60 - PSU,549,114,672,2,336
63,01 - Construcción Civil,60 - PSU,500,208,669,1,581
64,01 - Construcción Civil,60 - PSU,512,99,403,2,273
65,01 - Construcción Civil,60 - PSU,757,614,264,1,376
66,01 - Construcción Civil,60 - PSU,86,439,488,2,367
67,01 - Construcción Civil,60 - PSU,664,440,341,2,119
68,01 - Construcción Civil,60 - PSU,50,318,543,1,167
69,01 - Construcción Civil,60 - PSU,540,391,560,2,409
70,01 - Construcción Civil,60 - PSU,228,691,101,2,33
71,01 - Construcción Civil,60 - PSU,321,368,495,1,532
72,01 - Construcción Civil,60 - PSU,767,539,499,1,382
73,01 - Construcción Civil,60 - PSU,416,607,107,1,704
74,01 - Construcción Civil,60 - PSU,607,365,252,2,612
75,01 - Construcción Civil,60 - PSU,710,377,308,1,623
76,01 - Construcción Civil,60 - PSU,780,603,57,2,188
77,01 - Construcción Civil,60 - PSU,509,120,528,2,54
78,01 - Construcción Civil,60 - PSU,95,218,258,2,827
79,01 - Construcción Civil,60 - PSU,435,662,382,2,91
80,01 - Construcción Civil,60 - PSU,292,585,696,1,87
81,01 - Construcción Civil,60 - PSU,406,230,256,2,33
82,01 - Construcción Civil,60 - PSU,324,152,159,2,657
83,01 - Construcción Civil,60 - PSU,289,58,781,2,49
84,01 - Construcción Civil,60 - PSU,404,639,85,1,348
85,01 - Construcción Civil,60 - PSU,654,734,22,1,593
86,01 - Construcción Civil,60 - PSU,559,5,754,2,428
87,01 - Construcción Civil,60 - PSU,343,695,640,1,176
88,01 - Construcción Civil,60 - PSU,800,85,451,1,386
89,01 - Construcción Civil,60 - PSU,775,458,693,2,820
90,01 - Construcción Civil,60 - PSU,120,455,327,1,855
91,01 - Construcción Civil,60 - PSU,118,364,682,1,719
92,01 - Construcción Civil,60 - PSU,121,406,317,1,888
93,01 - Construcción Civil,60 - PSU,216,99,424,2,549
94,01 - Construcción Civil,60 - PSU,143,126,158,2,483
95,01 - Construcción Civil,60 - PSU,417,32,442,2,205
96,01 - Construcción Civil,60 - PSU,690,719,506,2,447
97,01 - Construcción Civil,60 - PSU,706,397,523,2,107
98,01 - Construcción Civil,60 - PSU,562,760,170,2,206
99,01 - Construcción Civil,60 - PSU,15,354,167,2,386
100,01 - Construcción Civil,60 - PSU,605,532,700,2,463
