RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
55,201920,202022,INPROGRESS - En progreso,3.93,3.51,55,5,50,135,20,115
56,201920,201920,INPROGRESS - En progreso,4.47,4.47,30,25,5,30,25,5
56,201920,201922,INPROGRESS - En progreso,3.4,3.93,30,5,25,60,30,30
56,201920,202020,INPROGRESS - En progreso,4.31,4.06,35,30,5,95,60,35
58,201920,201920,INPROGRESS - En progreso,4.67,4.67,25,20,5,25,20,5
58,201920,201922,INPROGRESS - En progreso,4.24,4.46,40,30,10,65,50,15
58,201920,202020,INPROGRESS - En progreso,2.32,3.74,50,0,50,115,50,65
58,201920,202022,INPROGRESS - En progreso,2.79,3.5,50,0,50,165,50,115
58,201920,202120,INPROGRESS - En progreso,4.04,3.61,10,5,5,175,55,120
59,201920,201920,INPROGRESS - En progreso,5.97,5.97,15,10,5,15,10,5
59,201920,201922,INPROGRESS - En progreso,3.93,4.95,15,5,10,30,15,15
59,201920,202020,INPROGRESS - En progreso,2.0,3.97,65,10,55,95,25,70
59,201920,202022,INPROGRESS - En progreso,2.91,3.7,25,0,25,120,25,95
59,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,3.7,0,0,0,120,25,95
70,201920,201920,INPROGRESS - En progreso,2.99,2.99,25,5,20,25,5,20
70,201920,201922,INPROGRESS - En progreso,1.8,2.4,10,0,10,35,5,30
70,201920,202020,INPROGRESS - En progreso,3.2,2.66,45,5,40,80,10,70
72,201920,201920,INPROGRESS - En progreso,6.22,6.22,30,25,5,30,25,5
72,201920,201922,INPROGRESS - En progreso,3.96,5.09,55,5,50,85,30,55
72,201920,202020,INPROGRESS - En progreso,4.25,4.81,15,10,5,100,40,60
72,201920,202022,INPROGRESS - En progreso,2.71,4.29,40,10,30,140,50,90
72,201920,202120,INPROGRESS - En progreso,3.89,4.21,50,10,40,190,60,130
76,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
77,201920,201920,INPROGRESS - En progreso,2.02,2.02,65,15,50,65,15,50
77,201920,201922,INPROGRESS - En progreso,4.2,3.11,25,20,5,90,35,55
77,201920,202020,INPROGRESS - En progreso,4.9,3.71,30,25,5,120,60,60
77,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,3.71,0,0,0,120,60,60
90,201920,201920,INPROGRESS - En progreso,2.71,2.71,25,0,25,25,0,25
90,201920,201922,INPROGRESS - En progreso,1.19,1.95,30,0,30,55,0,55
91,201920,201920,INPROGRESS - En progreso,2.76,2.76,50,5,45,50,5,45
91,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,2.76,0,0,0,50,5,45
95,201920,201920,INPROGRESS - En progreso,5.18,5.18,65,60,5,65,60,5
95,201920,201922,INPROGRESS - En progreso,3.9,4.54,10,0,10,75,60,15
95,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,4.54,0,0,0,75,60,15
95,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,4.54,0,0,0,75,60,15
97,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
97,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
